Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.647,0.881
0,2,2025-01-01,0.630,0.621
0,3,2025-01-01,0.605,0.851
0,4,2025-01-01,0.608,0.215
0,5,2025-01-01,0.646,0.417
0,6,2025-01-01,0.618,0.983
0,7,2025-01-01,0.720,0.787
1,1,2025-01-01,0.791,0.621
1,2,2025-01-01,0.634,0.851
1,3,2025-01-01,0.587,0.215
1,4,2025-01-01,0.602,0.417
1,5,2025-01-01,0.661,0.983
1,6,2025-01-01,0.813,0.787
1,7,2025-01-01,1.140,1.049
2,1,2025-01-01,0.453,0.851
2,2,2025-01-01,0.375,0.215
2,3,2025-01-01,0.283,0.417
2,4,2025-01-01,0.481,0.983
2,5,2025-01-01,0.440,0.787
2,6,2025-01-01,0.661,1.049
2,7,2025-01-01,0.891,1.235
3,1,2025-01-01,0.689,0.215
3,2,2025-01-01,0.759,0.417
3,3,2025-01-01,0.571,0.983
3,4,2025-01-01,0.555,0.787
3,5,2025-01-01,0.447,1.049
3,6,2025-01-01,0.523,1.235
3,7,2025-01-01,1.153,0.365
4,1,2025-01-01,0.258,0.417
4,2,2025-01-01,0.255,0.983
4,3,2025-01-01,0.594,0.787
4,4,2025-01-01,0.548,1.049
4,5,2025-01-01,0.543,1.235
4,6,2025-01-01,0.712,0.365
4,7,2025-01-01,1.560,1.261
5,1,2025-01-01,0.297,0.983
5,2,2025-01-01,0.540,0.787
5,3,2025-01-01,0.475,1.049
5,4,2025-01-01,0.491,1.235
5,5,2025-01-01,0.594,0.365
5,6,2025-01-01,0.546,1.261
5,7,2025-01-01,1.172,1.204
6,1,2025-01-01,1.042,0.787
6,2,2025-01-01,0.973,1.049
6,3,2025-01-01,1.031,1.235
6,4,2025-01-01,1.084,0.365
6,5,2025-01-01,1.226,1.261
6,6,2025-01-01,1.231,1.204
6,7,2025-01-01,1.159,1.194
7,1,2025-01-01,1.138,1.049
7,2,2025-01-01,0.912,1.235
7,3,2025-01-01,0.978,0.365
7,4,2025-01-01,0.881,1.261
7,5,2025-01-01,0.428,1.204
7,6,2025-01-01,0.530,1.194
7,7,2025-01-01,1.326,1.349
8,1,2025-01-01,0.794,1.235
8,2,2025-01-01,0.395,0.365
8,3,2025-01-01,0.374,1.261
8,4,2025-01-01,0.598,1.204
8,5,2025-01-01,0.466,1.194
8,6,2025-01-01,0.965,1.349
8,7,2025-01-01,1.418,1.297
9,1,2025-01-01,0.853,0.365
9,2,2025-01-01,0.874,1.261
9,3,2025-01-01,0.862,1.204
9,4,2025-01-01,1.084,1.194
9,5,2025-01-01,1.422,1.349
9,6,2025-01-01,1.178,1.297
9,7,2025-01-01,1.839,1.120
10,1,2025-01-01,0.389,1.261
10,2,2025-01-01,0.399,1.204
10,3,2025-01-01,0.461,1.194
10,4,2025-01-01,0.491,1.349
10,5,2025-01-01,0.744,1.297
10,6,2025-01-01,1.391,1.120
10,7,2025-01-01,1.837,0.834
11,1,2025-01-01,0.784,1.204
11,2,2025-01-01,0.985,1.194
11,3,2025-01-01,1.170,1.349
11,4,2025-01-01,1.175,1.297
11,5,2025-01-01,1.020,1.120
11,6,2025-01-01,1.325,0.834
11,7,2025-01-01,1.734,0.850
12,1,2025-01-01,1.296,1.194
12,2,2025-01-01,1.269,1.349
12,3,2025-01-01,1.253,1.297
12,4,2025-01-01,1.262,1.120
12,5,2025-01-01,0.986,0.834
12,6,2025-01-01,1.015,0.850
12,7,2025-01-01,1.875,1.275
13,1,2025-01-01,1.231,1.349
13,2,2025-01-01,1.141,1.297
13,3,2025-01-01,1.239,1.120
13,4,2025-01-01,1.321,0.834
13,5,2025-01-01,1.407,0.850
13,6,2025-01-01,1.253,1.275
13,7,2025-01-01,1.403,1.253
14,1,2025-01-01,1.438,1.297
14,2,2025-01-01,1.298,1.120
14,3,2025-01-01,1.354,0.834
14,4,2025-01-01,1.332,0.850
14,5,2025-01-01,1.409,1.275
14,6,2025-01-01,1.570,1.253
14,7,2025-01-01,2.066,0.961
15,1,2025-01-01,0.815,1.120
15,2,2025-01-01,1.105,0.834
15,3,2025-01-01,1.162,0.850
15,4,2025-01-01,1.280,1.275
15,5,2025-01-01,1.506,1.253
15,6,2025-01-01,1.549,0.961
15,7,2025-01-01,1.362,1.184
16,1,2025-01-01,0.997,0.834
16,2,2025-01-01,1.537,0.850
16,3,2025-01-01,1.682,1.275
16,4,2025-01-01,1.302,1.253
16,5,2025-01-01,0.497,0.961
16,6,2025-01-01,0.823,1.184
16,7,2025-01-01,1.019,1.226
17,1,2025-01-01,0.882,0.850
17,2,2025-01-01,0.887,1.275
17,3,2025-01-01,0.758,1.253
17,4,2025-01-01,0.792,0.961
17,5,2025-01-01,0.708,1.184
17,6,2025-01-01,1.371,1.226
17,7,2025-01-01,1.361,1.021
18,1,2025-01-01,0.566,1.275
18,2,2025-01-01,0.595,1.253
18,3,2025-01-01,0.447,0.961
18,4,2025-01-01,0.742,1.184
18,5,2025-01-01,1.034,1.226
18,6,2025-01-01,0.840,1.021
18,7,2025-01-01,1.510,0.984
19,1,2025-01-01,1.102,1.253
19,2,2025-01-01,0.777,0.961
19,3,2025-01-01,0.897,1.184
19,4,2025-01-01,0.670,1.226
19,5,2025-01-01,1.310,1.021
19,6,2025-01-01,0.873,0.984
19,7,2025-01-01,1.812,1.077
20,1,2025-01-01,0.668,0.961
20,2,2025-01-01,1.028,1.184
20,3,2025-01-01,1.313,1.226
20,4,2025-01-01,1.676,1.021
20,5,2025-01-01,0.723,0.984
20,6,2025-01-01,1.804,1.077
20,7,2025-01-01,1.221,1.167
21,1,2025-01-01,0.545,1.184
21,2,2025-01-01,0.615,1.226
21,3,2025-01-01,1.081,1.021
21,4,2025-01-01,1.102,0.984
21,5,2025-01-01,0.868,1.077
21,6,2025-01-01,1.169,1.167
21,7,2025-01-01,1.653,1.159
22,1,2025-01-01,0.992,1.226
22,2,2025-01-01,0.657,1.021
22,3,2025-01-01,1.016,0.984
22,4,2025-01-01,1.281,1.077
22,5,2025-01-01,1.452,1.167
22,6,2025-01-01,1.406,1.159
22,7,2025-01-01,1.168,0.939
23,1,2025-01-01,1.164,1.021
23,2,2025-01-01,1.364,0.984
23,3,2025-01-01,0.890,1.077
23,4,2025-01-01,0.829,1.167
23,5,2025-01-01,1.640,1.159
23,6,2025-01-01,1.170,0.939
23,7,2025-01-01,1.273,0.746
24,1,2025-01-01,0.665,0.984
24,2,2025-01-01,0.787,1.077
24,3,2025-01-01,0.989,1.167
24,4,2025-01-01,0.499,1.159
24,5,2025-01-01,0.773,0.939
24,6,2025-01-01,0.879,0.746
24,7,2025-01-02,0.750,2.300
25,1,2025-01-01,1.107,1.077
25,2,2025-01-01,1.007,1.167
25,3,2025-01-01,1.102,1.159
25,4,2025-01-01,1.010,0.939
25,5,2025-01-01,0.738,0.746
25,6,2025-01-02,1.219,2.300
25,7,2025-01-02,0.999,2.596
26,1,2025-01-01,1.476,1.167
26,2,2025-01-01,1.352,1.159
26,3,2025-01-01,1.196,0.939
26,4,2025-01-01,1.542,0.746
26,5,2025-01-02,1.324,2.300
26,6,2025-01-02,1.722,2.596
26,7,2025-01-02,1.843,1.313
27,1,2025-01-01,1.542,1.159
27,2,2025-01-01,1.470,0.939
27,3,2025-01-01,1.306,0.746
27,4,2025-01-02,1.393,2.300
27,5,2025-01-02,1.448,2.596
27,6,2025-01-02,1.251,1.313
27,7,2025-01-02,1.892,2.702
28,1,2025-01-01,1.491,0.939
28,2,2025-01-01,1.126,0.746
28,3,2025-01-02,1.109,2.300
28,4,2025-01-02,1.441,2.596
28,5,2025-01-02,0.990,1.313
28,6,2025-01-02,1.618,2.702
28,7,2025-01-02,1.645,0.848
29,1,2025-01-01,1.286,0.746
29,2,2025-01-02,0.680,2.300
29,3,2025-01-02,0.643,2.596
29,4,2025-01-02,0.730,1.313
29,5,2025-01-02,0.858,2.702
29,6,2025-01-02,1.289,0.848
29,7,2025-01-02,1.462,2.401
30,1,2025-01-02,0.946,2.300
30,2,2025-01-02,0.410,2.596
30,3,2025-01-02,0.412,1.313
30,4,2025-01-02,0.491,2.702
30,5,2025-01-02,1.752,0.848
30,6,2025-01-02,0.991,2.401
30,7,2025-01-02,2.940,1.918
31,1,2025-01-02,1.445,2.596
31,2,2025-01-02,1.026,1.313
31,3,2025-01-02,2.422,2.702
31,4,2025-01-02,1.961,0.848
31,5,2025-01-02,1.197,2.401
31,6,2025-01-02,3.104,1.918
31,7,2025-01-02,3.241,2.191
32,1,2025-01-02,1.355,1.313
32,2,2025-01-02,1.337,2.702
