Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.021,3.140
0,2,2025-01-01,2.158,2.305
0,3,2025-01-01,2.332,4.108
0,4,2025-01-01,2.430,4.553
0,5,2025-01-01,2.596,4.018
0,6,2025-01-01,2.653,4.312
0,7,2025-01-01,2.683,4.636
1,1,2025-01-01,1.961,2.305
1,2,2025-01-01,2.149,4.108
1,3,2025-01-01,2.265,4.553
1,4,2025-01-01,2.434,4.018
1,5,2025-01-01,2.561,4.312
1,6,2025-01-01,2.682,4.636
1,7,2025-01-01,2.727,2.920
2,1,2025-01-01,2.040,4.108
2,2,2025-01-01,2.383,4.553
2,3,2025-01-01,2.449,4.018
2,4,2025-01-01,2.528,4.312
2,5,2025-01-01,2.629,4.636
2,6,2025-01-01,2.661,2.920
2,7,2025-01-01,2.744,1.282
3,1,2025-01-01,2.553,4.553
3,2,2025-01-01,2.786,4.018
3,3,2025-01-01,2.949,4.312
3,4,2025-01-01,3.046,4.636
3,5,2025-01-01,3.112,2.920
3,6,2025-01-01,3.154,1.282
3,7,2025-01-01,3.171,4.847
4,1,2025-01-01,2.613,4.018
4,2,2025-01-01,2.936,4.312
4,3,2025-01-01,3.061,4.636
4,4,2025-01-01,3.163,2.920
4,5,2025-01-01,3.214,1.282
4,6,2025-01-01,3.212,4.847
4,7,2025-01-01,3.226,4.683
5,1,2025-01-01,2.676,4.312
5,2,2025-01-01,2.899,4.636
5,3,2025-01-01,3.089,2.920
5,4,2025-01-01,3.264,1.282
5,5,2025-01-01,3.353,4.847
5,6,2025-01-01,3.377,4.683
5,7,2025-01-01,3.400,4.033
6,1,2025-01-01,2.903,4.636
6,2,2025-01-01,3.236,2.920
6,3,2025-01-01,3.514,1.282
6,4,2025-01-01,3.626,4.847
6,5,2025-01-01,3.700,4.683
6,6,2025-01-01,3.697,4.033
6,7,2025-01-01,3.723,4.072
7,1,2025-01-01,3.180,2.920
7,2,2025-01-01,3.516,1.282
7,3,2025-01-01,3.819,4.847
7,4,2025-01-01,3.907,4.683
7,5,2025-01-01,3.946,4.033
7,6,2025-01-01,3.960,4.072
7,7,2025-01-01,3.970,2.835
8,1,2025-01-01,3.111,1.282
8,2,2025-01-01,3.636,4.847
8,3,2025-01-01,3.871,4.683
8,4,2025-01-01,3.937,4.033
8,5,2025-01-01,3.938,4.072
8,6,2025-01-01,3.896,2.835
8,7,2025-01-01,3.819,4.973
9,1,2025-01-01,2.948,4.847
9,2,2025-01-01,3.391,4.683
9,3,2025-01-01,3.667,4.033
9,4,2025-01-01,3.756,4.072
9,5,2025-01-01,3.754,2.835
9,6,2025-01-01,3.747,4.973
9,7,2025-01-01,3.716,5.388
10,1,2025-01-01,3.277,4.683
10,2,2025-01-01,3.512,4.033
10,3,2025-01-01,3.779,4.072
10,4,2025-01-01,3.875,2.835
10,5,2025-01-01,3.914,4.973
10,6,2025-01-01,3.960,5.388
10,7,2025-01-01,3.959,5.848
11,1,2025-01-01,3.454,4.033
11,2,2025-01-01,3.928,4.072
11,3,2025-01-01,4.241,2.835
11,4,2025-01-01,4.377,4.973
11,5,2025-01-01,4.479,5.388
11,6,2025-01-01,4.542,5.848
11,7,2025-01-01,4.566,5.689
12,1,2025-01-01,3.643,4.072
12,2,2025-01-01,4.151,2.835
12,3,2025-01-01,4.403,4.973
12,4,2025-01-01,4.520,5.388
12,5,2025-01-01,4.551,5.848
12,6,2025-01-01,4.568,5.689
12,7,2025-01-01,4.585,2.778
13,1,2025-01-01,3.553,2.835
13,2,2025-01-01,4.214,4.973
13,3,2025-01-01,4.330,5.388
13,4,2025-01-01,4.374,5.848
13,5,2025-01-01,4.291,5.689
13,6,2025-01-01,4.276,2.778
13,7,2025-01-01,4.231,5.945
14,1,2025-01-01,3.185,4.973
14,2,2025-01-01,3.624,5.388
14,3,2025-01-01,4.035,5.848
14,4,2025-01-01,4.172,5.689
14,5,2025-01-01,4.106,2.778
14,6,2025-01-01,4.111,5.945
14,7,2025-01-01,4.075,6.142
15,1,2025-01-01,3.864,5.388
15,2,2025-01-01,4.393,5.848
15,3,2025-01-01,4.550,5.689
15,4,2025-01-01,4.576,2.778
15,5,2025-01-01,4.585,5.945
15,6,2025-01-01,4.581,6.142
15,7,2025-01-01,4.558,6.013
16,1,2025-01-01,4.230,5.848
16,2,2025-01-01,4.745,5.689
16,3,2025-01-01,4.927,2.778
16,4,2025-01-01,4.990,5.945
16,5,2025-01-01,5.011,6.142
16,6,2025-01-01,5.035,6.013
16,7,2025-01-01,5.056,4.249
17,1,2025-01-01,4.362,5.689
17,2,2025-01-01,4.899,2.778
17,3,2025-01-01,5.070,5.945
17,4,2025-01-01,5.177,6.142
17,5,2025-01-01,5.177,6.013
17,6,2025-01-01,5.158,4.249
17,7,2025-01-01,5.145,6.228
18,1,2025-01-01,4.339,2.778
18,2,2025-01-01,4.804,5.945
18,3,2025-01-01,4.990,6.142
18,4,2025-01-01,4.961,6.013
18,5,2025-01-01,4.928,4.249
18,6,2025-01-01,4.875,6.228
18,7,2025-01-01,4.791,5.028
19,1,2025-01-01,3.794,5.945
19,2,2025-01-01,4.407,6.142
19,3,2025-01-01,4.531,6.013
19,4,2025-01-01,4.618,4.249
19,5,2025-01-01,4.582,6.228
19,6,2025-01-01,4.543,5.028
19,7,2025-01-01,4.465,4.124
20,1,2025-01-01,4.159,6.142
20,2,2025-01-01,4.397,6.013
20,3,2025-01-01,4.601,4.249
20,4,2025-01-01,4.707,6.228
20,5,2025-01-01,4.691,5.028
20,6,2025-01-01,4.640,4.124
20,7,2025-01-01,4.569,5.684
21,1,2025-01-01,4.429,6.013
21,2,2025-01-01,4.841,4.249
21,3,2025-01-01,4.969,6.228
21,4,2025-01-01,4.965,5.028
21,5,2025-01-01,4.937,4.124
21,6,2025-01-01,4.909,5.684
21,7,2025-01-01,4.835,5.223
22,1,2025-01-01,4.260,4.249
22,2,2025-01-01,4.407,6.228
22,3,2025-01-01,4.447,5.028
22,4,2025-01-01,4.434,4.124
22,5,2025-01-01,4.538,5.684
22,6,2025-01-01,4.520,5.223
22,7,2025-01-01,4.531,5.858
23,1,2025-01-01,4.073,6.228
23,2,2025-01-01,4.389,5.028
23,3,2025-01-01,4.409,4.124
23,4,2025-01-01,4.446,5.684
23,5,2025-01-01,4.391,5.223
23,6,2025-01-01,4.485,5.858
23,7,2025-01-01,4.460,4.500
24,1,2025-01-01,4.472,5.028
24,2,2025-01-01,4.666,4.124
24,3,2025-01-01,4.818,5.684
24,4,2025-01-01,4.840,5.223
24,5,2025-01-01,4.758,5.858
24,6,2025-01-01,4.679,4.500
24,7,2025-01-02,4.634,3.633
25,1,2025-01-01,4.098,4.124
25,2,2025-01-01,4.515,5.684
25,3,2025-01-01,4.706,5.223
25,4,2025-01-01,4.831,5.858
25,5,2025-01-01,4.830,4.500
25,6,2025-01-02,4.793,3.633
25,7,2025-01-02,4.747,7.370
26,1,2025-01-01,4.368,5.684
26,2,2025-01-01,4.819,5.223
26,3,2025-01-01,4.998,5.858
26,4,2025-01-01,5.027,4.500
26,5,2025-01-02,5.094,3.633
26,6,2025-01-02,5.089,7.370
26,7,2025-01-02,5.057,7.282
27,1,2025-01-01,4.684,5.223
27,2,2025-01-01,5.147,5.858
27,3,2025-01-01,5.354,4.500
27,4,2025-01-02,5.424,3.633
27,5,2025-01-02,5.424,7.370
27,6,2025-01-02,5.417,7.282
27,7,2025-01-02,5.379,7.812
