Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.371,1.355
0,2,2025-01-01,0.418,0.492
0,3,2025-01-01,0.443,1.233
0,4,2025-01-01,0.432,0.312
0,5,2025-01-01,0.472,0.926
0,6,2025-01-01,0.468,0.798
0,7,2025-01-01,0.499,1.409
1,1,2025-01-01,0.435,0.492
1,2,2025-01-01,0.504,1.233
1,3,2025-01-01,0.510,0.312
1,4,2025-01-01,0.528,0.926
1,5,2025-01-01,0.548,0.798
1,6,2025-01-01,0.573,1.409
1,7,2025-01-01,0.625,0.954
2,1,2025-01-01,0.303,1.233
2,2,2025-01-01,0.350,0.312
2,3,2025-01-01,0.356,0.926
2,4,2025-01-01,0.383,0.798
2,5,2025-01-01,0.464,1.409
2,6,2025-01-01,0.439,0.954
2,7,2025-01-01,0.505,1.129
3,1,2025-01-01,0.459,0.312
3,2,2025-01-01,0.534,0.926
3,3,2025-01-01,0.510,0.798
3,4,2025-01-01,0.520,1.409
3,5,2025-01-01,0.536,0.954
3,6,2025-01-01,0.527,1.129
3,7,2025-01-01,0.597,0.444
4,1,2025-01-01,0.362,0.926
4,2,2025-01-01,0.401,0.798
4,3,2025-01-01,0.447,1.409
4,4,2025-01-01,0.475,0.954
4,5,2025-01-01,0.518,1.129
4,6,2025-01-01,0.556,0.444
4,7,2025-01-01,0.573,0.754
5,1,2025-01-01,0.447,0.798
5,2,2025-01-01,0.512,1.409
5,3,2025-01-01,0.497,0.954
5,4,2025-01-01,0.457,1.129
5,5,2025-01-01,0.484,0.444
5,6,2025-01-01,0.498,0.754
5,7,2025-01-01,0.604,1.731
6,1,2025-01-01,0.457,1.409
6,2,2025-01-01,0.558,0.954
6,3,2025-01-01,0.494,1.129
6,4,2025-01-01,0.533,0.444
6,5,2025-01-01,0.631,0.754
6,6,2025-01-01,0.594,1.731
6,7,2025-01-01,0.605,1.705
7,1,2025-01-01,0.635,0.954
7,2,2025-01-01,0.752,1.129
7,3,2025-01-01,0.752,0.444
7,4,2025-01-01,0.809,0.754
7,5,2025-01-01,0.805,1.731
7,6,2025-01-01,0.889,1.705
7,7,2025-01-01,0.968,0.985
8,1,2025-01-01,0.529,1.129
8,2,2025-01-01,0.641,0.444
8,3,2025-01-01,0.684,0.754
8,4,2025-01-01,0.782,1.731
8,5,2025-01-01,0.805,1.705
8,6,2025-01-01,0.927,0.985
8,7,2025-01-01,1.003,1.546
9,1,2025-01-01,0.619,0.444
9,2,2025-01-01,0.690,0.754
9,3,2025-01-01,0.661,1.731
9,4,2025-01-01,0.621,1.705
9,5,2025-01-01,0.779,0.985
9,6,2025-01-01,0.820,1.546
9,7,2025-01-01,0.896,1.956
10,1,2025-01-01,0.567,0.754
10,2,2025-01-01,0.602,1.731
10,3,2025-01-01,0.563,1.705
10,4,2025-01-01,0.649,0.985
10,5,2025-01-01,0.636,1.546
10,6,2025-01-01,0.802,1.956
10,7,2025-01-01,0.728,1.022
11,1,2025-01-01,0.574,1.731
11,2,2025-01-01,0.622,1.705
11,3,2025-01-01,0.590,0.985
11,4,2025-01-01,0.719,1.546
11,5,2025-01-01,0.681,1.956
11,6,2025-01-01,0.756,1.022
11,7,2025-01-01,0.853,0.771
12,1,2025-01-01,0.776,1.705
12,2,2025-01-01,0.773,0.985
12,3,2025-01-01,0.774,1.546
12,4,2025-01-01,0.784,1.956
12,5,2025-01-01,0.725,1.022
12,6,2025-01-01,0.826,0.771
