Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.372,0.944
0,2,2025-01-01,0.421,0.648
0,3,2025-01-01,0.436,0.907
0,4,2025-01-01,0.448,0.853
0,5,2025-01-01,0.455,0.759
0,6,2025-01-01,0.446,1.143
0,7,2025-01-01,0.456,1.174
1,1,2025-01-01,0.388,0.648
1,2,2025-01-01,0.427,0.907
1,3,2025-01-01,0.454,0.853
1,4,2025-01-01,0.458,0.759
1,5,2025-01-01,0.462,1.143
1,6,2025-01-01,0.469,1.174
1,7,2025-01-01,0.476,0.579
2,1,2025-01-01,0.415,0.907
2,2,2025-01-01,0.433,0.853
2,3,2025-01-01,0.477,0.759
2,4,2025-01-01,0.521,1.143
2,5,2025-01-01,0.510,1.174
2,6,2025-01-01,0.535,0.579
2,7,2025-01-01,0.539,1.240
3,1,2025-01-01,0.467,0.853
3,2,2025-01-01,0.482,0.759
3,3,2025-01-01,0.546,1.143
3,4,2025-01-01,0.567,1.174
3,5,2025-01-01,0.627,0.579
3,6,2025-01-01,0.648,1.240
3,7,2025-01-01,0.657,0.838
4,1,2025-01-01,0.517,0.759
4,2,2025-01-01,0.541,1.143
4,3,2025-01-01,0.609,1.174
4,4,2025-01-01,0.682,0.579
4,5,2025-01-01,0.734,1.240
4,6,2025-01-01,0.794,0.838
4,7,2025-01-01,0.848,1.066
5,1,2025-01-01,0.586,1.143
5,2,2025-01-01,0.535,1.174
5,3,2025-01-01,0.631,0.579
5,4,2025-01-01,0.775,1.240
5,5,2025-01-01,0.851,0.838
5,6,2025-01-01,0.927,1.066
5,7,2025-01-01,1.008,1.179
6,1,2025-01-01,0.636,1.174
6,2,2025-01-01,0.607,0.579
6,3,2025-01-01,0.660,1.240
6,4,2025-01-01,0.663,0.838
6,5,2025-01-01,0.711,1.066
6,6,2025-01-01,0.757,1.179
6,7,2025-01-01,0.815,1.303
7,1,2025-01-01,0.710,0.579
7,2,2025-01-01,0.744,1.240
7,3,2025-01-01,0.782,0.838
7,4,2025-01-01,0.917,1.066
7,5,2025-01-01,1.030,1.179
7,6,2025-01-01,1.159,1.303
7,7,2025-01-01,1.244,1.296
8,1,2025-01-01,0.693,1.240
8,2,2025-01-01,0.774,0.838
8,3,2025-01-01,0.847,1.066
8,4,2025-01-01,0.862,1.179
8,5,2025-01-01,0.944,1.303
8,6,2025-01-01,1.028,1.296
8,7,2025-01-01,1.115,1.108
9,1,2025-01-01,0.728,0.838
9,2,2025-01-01,0.763,1.066
9,3,2025-01-01,0.855,1.179
9,4,2025-01-01,0.924,1.303
9,5,2025-01-01,0.979,1.296
9,6,2025-01-01,1.037,1.108
9,7,2025-01-01,1.081,0.574
10,1,2025-01-01,0.734,1.066
10,2,2025-01-01,0.756,1.179
10,3,2025-01-01,0.807,1.303
10,4,2025-01-01,0.893,1.296
10,5,2025-01-01,0.929,1.108
10,6,2025-01-01,0.958,0.574
10,7,2025-01-01,0.974,0.715
11,1,2025-01-01,0.742,1.179
11,2,2025-01-01,0.743,1.303
11,3,2025-01-01,0.795,1.296
11,4,2025-01-01,0.833,1.108
11,5,2025-01-01,0.856,0.574
11,6,2025-01-01,0.879,0.715
11,7,2025-01-01,0.851,0.746
12,1,2025-01-01,0.735,1.303
12,2,2025-01-01,0.721,1.296
12,3,2025-01-01,0.746,1.108
12,4,2025-01-01,0.776,0.574
12,5,2025-01-01,0.766,0.715
12,6,2025-01-01,0.788,0.746
12,7,2025-01-01,0.754,1.850
13,1,2025-01-01,0.656,1.296
13,2,2025-01-01,0.618,1.108
13,3,2025-01-01,0.688,0.574
13,4,2025-01-01,0.682,0.715
13,5,2025-01-01,0.690,0.746
13,6,2025-01-01,0.684,1.850
13,7,2025-01-01,0.704,1.421
14,1,2025-01-01,0.671,1.108
14,2,2025-01-01,0.629,0.574
14,3,2025-01-01,0.697,0.715
14,4,2025-01-01,0.712,0.746
14,5,2025-01-01,0.707,1.850
14,6,2025-01-01,0.709,1.421
14,7,2025-01-01,0.772,1.052
15,1,2025-01-01,0.683,0.574
15,2,2025-01-01,0.681,0.715
15,3,2025-01-01,0.714,0.746
15,4,2025-01-01,0.762,1.850
15,5,2025-01-01,0.779,1.421
15,6,2025-01-01,0.780,1.052
15,7,2025-01-01,0.862,0.978
16,1,2025-01-01,0.580,0.715
16,2,2025-01-01,0.599,0.746
16,3,2025-01-01,0.642,1.850
16,4,2025-01-01,0.712,1.421
16,5,2025-01-01,0.804,1.052
16,6,2025-01-01,0.817,0.978
16,7,2025-01-01,0.839,1.077
17,1,2025-01-01,0.540,0.746
17,2,2025-01-01,0.578,1.850
17,3,2025-01-01,0.602,1.421
17,4,2025-01-01,0.686,1.052
17,5,2025-01-01,0.700,0.978
17,6,2025-01-01,0.703,1.077
17,7,2025-01-01,0.762,1.136
18,1,2025-01-01,0.579,1.850
18,2,2025-01-01,0.581,1.421
18,3,2025-01-01,0.612,1.052
18,4,2025-01-01,0.651,0.978
18,5,2025-01-01,0.671,1.077
18,6,2025-01-01,0.653,1.136
18,7,2025-01-01,0.690,0.793
19,1,2025-01-01,0.692,1.421
19,2,2025-01-01,0.677,1.052
19,3,2025-01-01,0.727,0.978
19,4,2025-01-01,0.730,1.077
19,5,2025-01-01,0.781,1.136
19,6,2025-01-01,0.708,0.793
19,7,2025-01-01,0.730,0.896
20,1,2025-01-01,0.610,1.052
20,2,2025-01-01,0.595,0.978
20,3,2025-01-01,0.626,1.077
20,4,2025-01-01,0.681,1.136
20,5,2025-01-01,0.706,0.793
20,6,2025-01-01,0.662,0.896
20,7,2025-01-01,0.719,0.938
21,1,2025-01-01,0.614,0.978
21,2,2025-01-01,0.638,1.077
21,3,2025-01-01,0.676,1.136
21,4,2025-01-01,0.698,0.793
21,5,2025-01-01,0.723,0.896
21,6,2025-01-01,0.776,0.938
21,7,2025-01-01,0.844,0.924
22,1,2025-01-01,0.591,1.077
22,2,2025-01-01,0.622,1.136
22,3,2025-01-01,0.715,0.793
22,4,2025-01-01,0.799,0.896
22,5,2025-01-01,0.830,0.938
22,6,2025-01-01,0.828,0.924
22,7,2025-01-01,0.848,1.099
23,1,2025-01-01,0.611,1.136
23,2,2025-01-01,0.652,0.793
23,3,2025-01-01,0.699,0.896
23,4,2025-01-01,0.728,0.938
23,5,2025-01-01,0.730,0.924
23,6,2025-01-01,0.804,1.099
23,7,2025-01-01,0.808,0.739
24,1,2025-01-01,0.557,0.793
24,2,2025-01-01,0.595,0.896
24,3,2025-01-01,0.679,0.938
24,4,2025-01-01,0.706,0.924
24,5,2025-01-01,0.703,1.099
24,6,2025-01-01,0.723,0.739
24,7,2025-01-02,0.765,1.398
25,1,2025-01-01,0.569,0.896
25,2,2025-01-01,0.612,0.938
25,3,2025-01-01,0.682,0.924
25,4,2025-01-01,0.703,1.099
25,5,2025-01-01,0.716,0.739
25,6,2025-01-02,0.740,1.398
25,7,2025-01-02,0.866,3.044
26,1,2025-01-01,0.664,0.938
26,2,2025-01-01,0.761,0.924
26,3,2025-01-01,0.694,1.099
26,4,2025-01-01,0.742,0.739
26,5,2025-01-02,0.748,1.398
26,6,2025-01-02,0.823,3.044
26,7,2025-01-02,0.890,2.289
27,1,2025-01-01,0.602,0.924
27,2,2025-01-01,0.683,1.099
27,3,2025-01-01,0.780,0.739
27,4,2025-01-02,0.763,1.398
27,5,2025-01-02,0.882,3.044
27,6,2025-01-02,0.934,2.289
27,7,2025-01-02,1.002,2.185
28,1,2025-01-01,0.694,1.099
28,2,2025-01-01,0.749,0.739
28,3,2025-01-02,0.808,1.398
28,4,2025-01-02,0.874,3.044
28,5,2025-01-02,0.906,2.289
28,6,2025-01-02,0.954,2.185
28,7,2025-01-02,1.023,2.907
29,1,2025-01-01,0.709,0.739
