Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.374,1.514
0,2,2025-01-01,0.433,0.599
0,3,2025-01-01,0.413,1.165
0,4,2025-01-01,0.415,0.251
0,5,2025-01-01,0.424,0.993
0,6,2025-01-01,0.429,0.482
0,7,2025-01-01,0.414,1.779
1,1,2025-01-01,0.426,0.599
1,2,2025-01-01,0.505,1.165
1,3,2025-01-01,0.509,0.251
1,4,2025-01-01,0.501,0.993
1,5,2025-01-01,0.503,0.482
1,6,2025-01-01,0.469,1.779
1,7,2025-01-01,0.502,1.536
2,1,2025-01-01,0.381,1.165
2,2,2025-01-01,0.390,0.251
2,3,2025-01-01,0.407,0.993
2,4,2025-01-01,0.426,0.482
2,5,2025-01-01,0.515,1.779
2,6,2025-01-01,0.469,1.536
2,7,2025-01-01,0.456,0.429
3,1,2025-01-01,0.519,0.251
3,2,2025-01-01,0.512,0.993
3,3,2025-01-01,0.536,0.482
3,4,2025-01-01,0.587,1.779
3,5,2025-01-01,0.486,1.536
3,6,2025-01-01,0.513,0.429
3,7,2025-01-01,0.536,0.903
4,1,2025-01-01,0.401,0.993
4,2,2025-01-01,0.410,0.482
4,3,2025-01-01,0.463,1.779
4,4,2025-01-01,0.518,1.536
4,5,2025-01-01,0.572,0.429
4,6,2025-01-01,0.592,0.903
4,7,2025-01-01,0.605,1.239
5,1,2025-01-01,0.467,0.482
5,2,2025-01-01,0.524,1.779
5,3,2025-01-01,0.532,1.536
5,4,2025-01-01,0.512,0.429
5,5,2025-01-01,0.549,0.903
5,6,2025-01-01,0.601,1.239
5,7,2025-01-01,0.585,1.969
6,1,2025-01-01,0.465,1.779
6,2,2025-01-01,0.467,1.536
6,3,2025-01-01,0.492,0.429
6,4,2025-01-01,0.547,0.903
6,5,2025-01-01,0.613,1.239
6,6,2025-01-01,0.589,1.969
6,7,2025-01-01,0.645,1.997
7,1,2025-01-01,0.736,1.536
7,2,2025-01-01,0.725,0.429
7,3,2025-01-01,0.684,0.903
7,4,2025-01-01,0.752,1.239
7,5,2025-01-01,0.782,1.969
7,6,2025-01-01,0.813,1.997
7,7,2025-01-01,0.900,1.277
8,1,2025-01-01,0.717,0.429
8,2,2025-01-01,0.728,0.903
8,3,2025-01-01,0.725,1.239
8,4,2025-01-01,0.741,1.969
8,5,2025-01-01,0.827,1.997
8,6,2025-01-01,0.856,1.277
8,7,2025-01-01,0.946,1.681
9,1,2025-01-01,0.656,0.903
9,2,2025-01-01,0.582,1.239
9,3,2025-01-01,0.675,1.969
9,4,2025-01-01,0.770,1.997
9,5,2025-01-01,0.792,1.277
9,6,2025-01-01,0.831,1.681
9,7,2025-01-01,0.750,1.425
10,1,2025-01-01,0.634,1.239
10,2,2025-01-01,0.717,1.969
10,3,2025-01-01,0.632,1.997
10,4,2025-01-01,0.708,1.277
10,5,2025-01-01,0.790,1.681
10,6,2025-01-01,0.730,1.425
10,7,2025-01-01,0.796,0.826
11,1,2025-01-01,0.569,1.969
11,2,2025-01-01,0.569,1.997
11,3,2025-01-01,0.711,1.277
11,4,2025-01-01,0.724,1.681
11,5,2025-01-01,0.729,1.425
11,6,2025-01-01,0.768,0.826
11,7,2025-01-01,0.746,1.080
12,1,2025-01-01,0.715,1.997
12,2,2025-01-01,0.796,1.277
12,3,2025-01-01,0.726,1.681
12,4,2025-01-01,0.809,1.425
12,5,2025-01-01,0.778,0.826
12,6,2025-01-01,0.739,1.080
12,7,2025-01-01,0.829,1.336
13,1,2025-01-01,0.740,1.277
13,2,2025-01-01,0.651,1.681
13,3,2025-01-01,0.682,1.425
13,4,2025-01-01,0.710,0.826
13,5,2025-01-01,0.695,1.080
13,6,2025-01-01,0.762,1.336
13,7,2025-01-01,0.817,1.473
14,1,2025-01-01,0.664,1.681
14,2,2025-01-01,0.728,1.425
14,3,2025-01-01,0.751,0.826
14,4,2025-01-01,0.706,1.080
14,5,2025-01-01,0.737,1.336
14,6,2025-01-01,0.763,1.473
14,7,2025-01-01,0.851,0.865
15,1,2025-01-01,0.806,1.425
15,2,2025-01-01,0.845,0.826
15,3,2025-01-01,0.835,1.080
15,4,2025-01-01,0.791,1.336
15,5,2025-01-01,0.802,1.473
15,6,2025-01-01,0.714,0.865
