Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.298,0.881
0,2,2025-01-01,0.304,0.621
0,3,2025-01-01,0.315,0.851
0,4,2025-01-01,0.333,0.215
0,5,2025-01-01,0.353,0.417
0,6,2025-01-01,0.378,0.983
0,7,2025-01-01,0.399,0.787
1,1,2025-01-01,0.322,0.621
1,2,2025-01-01,0.329,0.851
1,3,2025-01-01,0.340,0.215
1,4,2025-01-01,0.379,0.417
1,5,2025-01-01,0.424,0.983
1,6,2025-01-01,0.471,0.787
1,7,2025-01-01,0.527,1.049
2,1,2025-01-01,0.283,0.851
2,2,2025-01-01,0.277,0.215
2,3,2025-01-01,0.329,0.417
2,4,2025-01-01,0.411,0.983
2,5,2025-01-01,0.479,0.787
2,6,2025-01-01,0.548,1.049
2,7,2025-01-01,0.628,1.235
3,1,2025-01-01,0.344,0.215
3,2,2025-01-01,0.343,0.417
3,3,2025-01-01,0.346,0.983
3,4,2025-01-01,0.388,0.787
3,5,2025-01-01,0.392,1.049
3,6,2025-01-01,0.421,1.235
3,7,2025-01-01,0.493,0.365
4,1,2025-01-01,0.299,0.417
4,2,2025-01-01,0.322,0.983
4,3,2025-01-01,0.401,0.787
4,4,2025-01-01,0.456,1.049
4,5,2025-01-01,0.505,1.235
4,6,2025-01-01,0.560,0.365
4,7,2025-01-01,0.623,1.261
5,1,2025-01-01,0.335,0.983
5,2,2025-01-01,0.341,0.787
5,3,2025-01-01,0.344,1.049
5,4,2025-01-01,0.385,1.235
5,5,2025-01-01,0.410,0.365
5,6,2025-01-01,0.440,1.261
5,7,2025-01-01,0.533,1.204
6,1,2025-01-01,0.518,0.787
6,2,2025-01-01,0.546,1.049
6,3,2025-01-01,0.509,1.235
6,4,2025-01-01,0.588,0.365
6,5,2025-01-01,0.657,1.261
6,6,2025-01-01,0.670,1.204
6,7,2025-01-01,0.721,1.194
7,1,2025-01-01,0.602,1.049
7,2,2025-01-01,0.582,1.235
7,3,2025-01-01,0.631,0.365
7,4,2025-01-01,0.708,1.261
7,5,2025-01-01,0.751,1.204
7,6,2025-01-01,0.857,1.194
7,7,2025-01-01,0.993,1.349
8,1,2025-01-01,0.543,1.235
8,2,2025-01-01,0.511,0.365
8,3,2025-01-01,0.590,1.261
8,4,2025-01-01,0.691,1.204
8,5,2025-01-01,0.772,1.194
8,6,2025-01-01,0.887,1.349
8,7,2025-01-01,0.997,1.297
9,1,2025-01-01,0.570,0.365
9,2,2025-01-01,0.630,1.261
9,3,2025-01-01,0.654,1.204
9,4,2025-01-01,0.776,1.194
9,5,2025-01-01,0.849,1.349
9,6,2025-01-01,0.912,1.297
9,7,2025-01-01,0.997,1.120
10,1,2025-01-01,0.499,1.261
10,2,2025-01-01,0.480,1.204
10,3,2025-01-01,0.515,1.194
10,4,2025-01-01,0.556,1.349
10,5,2025-01-01,0.653,1.297
10,6,2025-01-01,0.760,1.120
10,7,2025-01-01,0.813,0.834
11,1,2025-01-01,0.625,1.204
11,2,2025-01-01,0.657,1.194
11,3,2025-01-01,0.698,1.349
11,4,2025-01-01,0.710,1.297
11,5,2025-01-01,0.709,1.120
11,6,2025-01-01,0.769,0.834
11,7,2025-01-01,0.807,0.850
12,1,2025-01-01,0.721,1.194
12,2,2025-01-01,0.700,1.349
12,3,2025-01-01,0.724,1.297
12,4,2025-01-01,0.753,1.120
12,5,2025-01-01,0.746,0.834
12,6,2025-01-01,0.793,0.850
12,7,2025-01-01,0.906,1.275
13,1,2025-01-01,0.667,1.349
13,2,2025-01-01,0.657,1.297
13,3,2025-01-01,0.709,1.120
13,4,2025-01-01,0.743,0.834
13,5,2025-01-01,0.764,0.850
13,6,2025-01-01,0.806,1.275
13,7,2025-01-01,0.827,1.253
14,1,2025-01-01,0.718,1.297
14,2,2025-01-01,0.708,1.120
14,3,2025-01-01,0.734,0.834
14,4,2025-01-01,0.774,0.850
14,5,2025-01-01,0.801,1.275
14,6,2025-01-01,0.843,1.253
14,7,2025-01-01,0.908,0.961
15,1,2025-01-01,0.580,1.120
15,2,2025-01-01,0.735,0.834
15,3,2025-01-01,0.728,0.850
15,4,2025-01-01,0.809,1.275
15,5,2025-01-01,0.845,1.253
15,6,2025-01-01,0.895,0.961
15,7,2025-01-01,0.929,1.184
16,1,2025-01-01,0.611,0.834
16,2,2025-01-01,0.708,0.850
16,3,2025-01-01,0.747,1.275
16,4,2025-01-01,0.757,1.253
16,5,2025-01-01,0.721,0.961
16,6,2025-01-01,0.757,1.184
16,7,2025-01-01,0.760,1.226
17,1,2025-01-01,0.580,0.850
17,2,2025-01-01,0.578,1.275
17,3,2025-01-01,0.588,1.253
17,4,2025-01-01,0.606,0.961
17,5,2025-01-01,0.615,1.184
17,6,2025-01-01,0.709,1.226
17,7,2025-01-01,0.691,1.021
18,1,2025-01-01,0.576,1.275
18,2,2025-01-01,0.611,1.253
18,3,2025-01-01,0.653,0.961
18,4,2025-01-01,0.738,1.184
18,5,2025-01-01,0.781,1.226
18,6,2025-01-01,0.795,1.021
18,7,2025-01-01,0.841,0.984
19,1,2025-01-01,0.692,1.253
19,2,2025-01-01,0.711,0.961
19,3,2025-01-01,0.813,1.184
19,4,2025-01-01,0.857,1.226
19,5,2025-01-01,0.960,1.021
19,6,2025-01-01,0.978,0.984
19,7,2025-01-01,1.035,1.077
20,1,2025-01-01,0.607,0.961
20,2,2025-01-01,0.666,1.184
20,3,2025-01-01,0.806,1.226
20,4,2025-01-01,0.842,1.021
20,5,2025-01-01,0.757,0.984
20,6,2025-01-01,0.891,1.077
20,7,2025-01-01,0.821,1.167
21,1,2025-01-01,0.559,1.184
21,2,2025-01-01,0.575,1.226
21,3,2025-01-01,0.694,1.021
21,4,2025-01-01,0.756,0.984
21,5,2025-01-01,0.732,1.077
21,6,2025-01-01,0.777,1.167
21,7,2025-01-01,0.868,1.159
22,1,2025-01-01,0.695,1.226
22,2,2025-01-01,0.668,1.021
22,3,2025-01-01,0.762,0.984
22,4,2025-01-01,0.851,1.077
22,5,2025-01-01,0.920,1.167
22,6,2025-01-01,0.958,1.159
22,7,2025-01-01,0.957,0.939
23,1,2025-01-01,0.727,1.021
23,2,2025-01-01,0.757,0.984
23,3,2025-01-01,0.724,1.077
23,4,2025-01-01,0.741,1.167
23,5,2025-01-01,0.884,1.159
23,6,2025-01-01,0.931,0.939
23,7,2025-01-01,0.967,0.746
24,1,2025-01-01,0.630,0.984
24,2,2025-01-01,0.702,1.077
24,3,2025-01-01,0.810,1.167
24,4,2025-01-01,0.782,1.159
24,5,2025-01-01,0.840,0.939
24,6,2025-01-01,0.950,0.746
24,7,2025-01-02,0.919,2.300
25,1,2025-01-01,0.731,1.077
25,2,2025-01-01,0.695,1.167
25,3,2025-01-01,0.793,1.159
25,4,2025-01-01,0.848,0.939
25,5,2025-01-01,0.865,0.746
25,6,2025-01-02,0.925,2.300
25,7,2025-01-02,0.948,2.596
26,1,2025-01-01,0.803,1.167
26,2,2025-01-01,0.817,1.159
26,3,2025-01-01,0.808,0.939
26,4,2025-01-01,0.956,0.746
26,5,2025-01-02,1.009,2.300
26,6,2025-01-02,1.088,2.596
26,7,2025-01-02,1.104,1.313
27,1,2025-01-01,0.850,1.159
27,2,2025-01-01,0.870,0.939
27,3,2025-01-01,0.918,0.746
27,4,2025-01-02,1.019,2.300
27,5,2025-01-02,1.093,2.596
27,6,2025-01-02,1.228,1.313
27,7,2025-01-02,1.349,2.702
28,1,2025-01-01,0.857,0.939
28,2,2025-01-01,0.874,0.746
28,3,2025-01-02,0.908,2.300
28,4,2025-01-02,1.037,2.596
28,5,2025-01-02,1.123,1.313
28,6,2025-01-02,1.264,2.702
28,7,2025-01-02,1.434,0.848
29,1,2025-01-01,0.854,0.746
29,2,2025-01-02,0.873,2.300
29,3,2025-01-02,0.944,2.596
29,4,2025-01-02,1.045,1.313
29,5,2025-01-02,1.258,2.702
29,6,2025-01-02,1.454,0.848
29,7,2025-01-02,1.619,2.401
30,1,2025-01-02,0.821,2.300
30,2,2025-01-02,0.896,2.596
30,3,2025-01-02,0.980,1.313
30,4,2025-01-02,1.142,2.702
30,5,2025-01-02,1.341,0.848
30,6,2025-01-02,1.560,2.401
30,7,2025-01-02,1.813,1.918
31,1,2025-01-02,0.817,2.596
31,2,2025-01-02,0.875,1.313
31,3,2025-01-02,1.219,2.702
31,4,2025-01-02,1.228,0.848
31,5,2025-01-02,1.316,2.401
31,6,2025-01-02,1.598,1.918
31,7,2025-01-02,1.698,2.191
32,1,2025-01-02,1.052,1.313
32,2,2025-01-02,1.236,2.702
32,3,2025-01-02,1.595,0.848
32,4,2025-01-02,1.743,2.401
32,5,2025-01-02,1.881,1.918
32,6,2025-01-02,2.032,2.191
32,7,2025-01-02,2.170,1.604
33,1,2025-01-02,1.066,2.702
33,2,2025-01-02,1.221,0.848
33,3,2025-01-02,1.421,2.401
33,4,2025-01-02,1.679,1.918
33,5,2025-01-02,1.885,2.191
33,6,2025-01-02,2.048,1.604
33,7,2025-01-02,2.214,1.343
34,1,2025-01-02,1.513,0.848
34,2,2025-01-02,1.580,2.401
34,3,2025-01-02,1.650,1.918
34,4,2025-01-02,1.794,2.191
34,5,2025-01-02,1.914,1.604
34,6,2025-01-02,2.092,1.343
34,7,2025-01-02,2.190,2.533
35,1,2025-01-02,1.172,2.401
35,2,2025-01-02,1.350,1.918
35,3,2025-01-02,1.556,2.191
35,4,2025-01-02,1.799,1.604
35,5,2025-01-02,1.995,1.343
35,6,2025-01-02,2.149,2.533
35,7,2025-01-02,2.258,2.364
36,1,2025-01-02,1.381,1.918
36,2,2025-01-02,1.361,2.191
36,3,2025-01-02,1.358,1.604
36,4,2025-01-02,1.467,1.343
36,5,2025-01-02,1.584,2.533
36,6,2025-01-02,1.845,2.364
36,7,2025-01-02,2.005,2.478
37,1,2025-01-02,1.374,2.191
37,2,2025-01-02,1.511,1.604
37,3,2025-01-02,1.611,1.343
37,4,2025-01-02,1.747,2.533
37,5,2025-01-02,1.720,2.364
37,6,2025-01-02,1.909,2.478
37,7,2025-01-02,2.105,2.561
38,1,2025-01-02,1.299,1.604
38,2,2025-01-02,1.362,1.343
38,3,2025-01-02,1.511,2.533
38,4,2025-01-02,1.622,2.364
38,5,2025-01-02,1.861,2.478
38,6,2025-01-02,2.039,2.561
38,7,2025-01-02,2.160,2.649
39,1,2025-01-02,1.212,1.343
39,2,2025-01-02,1.265,2.533
39,3,2025-01-02,1.472,2.364
39,4,2025-01-02,1.583,2.478
39,5,2025-01-02,1.785,2.561
39,6,2025-01-02,2.017,2.649
39,7,2025-01-02,2.138,2.998
40,1,2025-01-02,1.200,2.533
40,2,2025-01-02,1.207,2.364
40,3,2025-01-02,1.343,2.478
40,4,2025-01-02,1.460,2.561
40,5,2025-01-02,1.543,2.649
40,6,2025-01-02,1.689,2.998
40,7,2025-01-02,1.931,3.084
41,1,2025-01-02,1.471,2.364
41,2,2025-01-02,1.498,2.478
41,3,2025-01-02,1.577,2.561
41,4,2025-01-02,1.658,2.649
41,5,2025-01-02,1.693,2.998
41,6,2025-01-02,1.812,3.084
41,7,2025-01-02,2.085,3.276
42,1,2025-01-02,1.506,2.478
42,2,2025-01-02,1.609,2.561
42,3,2025-01-02,1.709,2.649
42,4,2025-01-02,1.805,2.998
42,5,2025-01-02,1.906,3.084
42,6,2025-01-02,2.054,3.276
42,7,2025-01-02,2.122,3.146
43,1,2025-01-02,1.491,2.561
43,2,2025-01-02,1.720,2.649
43,3,2025-01-02,1.911,2.998
43,4,2025-01-02,2.032,3.084
43,5,2025-01-02,2.113,3.276
43,6,2025-01-02,2.277,3.146
43,7,2025-01-02,2.438,2.237
44,1,2025-01-02,1.707,2.649
44,2,2025-01-02,1.907,2.998
44,3,2025-01-02,2.066,3.084
44,4,2025-01-02,2.202,3.276
44,5,2025-01-02,2.328,3.146
44,6,2025-01-02,2.504,2.237
44,7,2025-01-02,2.651,1.980
45,1,2025-01-02,1.862,2.998
45,2,2025-01-02,2.127,3.084
45,3,2025-01-02,2.305,3.276
45,4,2025-01-02,2.440,3.146
45,5,2025-01-02,2.569,2.237
45,6,2025-01-02,2.701,1.980
45,7,2025-01-02,2.840,2.436
46,1,2025-01-02,2.007,3.084
46,2,2025-01-02,2.264,3.276
46,3,2025-01-02,2.443,3.146
46,4,2025-01-02,2.631,2.237
46,5,2025-01-02,2.757,1.980
46,6,2025-01-02,2.896,2.436
46,7,2025-01-02,3.006,2.516
47,1,2025-01-02,2.098,3.276
47,2,2025-01-02,2.302,3.146
47,3,2025-01-02,2.453,2.237
47,4,2025-01-02,2.591,1.980
47,5,2025-01-02,2.718,2.436
47,6,2025-01-02,2.867,2.516
47,7,2025-01-02,2.998,2.547
48,1,2025-01-02,2.204,3.146
48,2,2025-01-02,2.345,2.237
48,3,2025-01-02,2.486,1.980
48,4,2025-01-02,2.638,2.436
48,5,2025-01-02,2.762,2.516
48,6,2025-01-02,2.927,2.547
48,7,2025-01-02,3.066,3.012
49,1,2025-01-02,2.241,2.237
49,2,2025-01-02,2.231,1.980
49,3,2025-01-02,2.535,2.436
49,4,2025-01-02,2.667,2.516
49,5,2025-01-02,2.796,2.547
49,6,2025-01-02,2.955,3.012
49,7,2025-01-02,3.023,1.970
50,1,2025-01-02,1.726,1.980
50,2,2025-01-02,1.875,2.436
50,3,2025-01-02,1.972,2.516
50,4,2025-01-02,2.215,2.547
50,5,2025-01-02,2.493,3.012
50,6,2025-01-02,2.748,1.970
50,7,2025-01-02,2.867,2.032
51,1,2025-01-02,1.780,2.436
51,2,2025-01-02,1.734,2.516
51,3,2025-01-02,2.049,2.547
51,4,2025-01-02,2.281,3.012
51,5,2025-01-02,2.567,1.970
51,6,2025-01-02,2.823,2.032
51,7,2025-01-02,2.944,3.426
52,1,2025-01-02,1.724,2.516
52,2,2025-01-02,1.752,2.547
52,3,2025-01-02,1.987,3.012
52,4,2025-01-02,2.182,1.970
52,5,2025-01-02,2.480,2.032
52,6,2025-01-02,2.827,3.426
52,7,2025-01-02,2.867,4.034
53,1,2025-01-02,1.772,2.547
53,2,2025-01-02,1.809,3.012
53,3,2025-01-02,2.108,1.970
53,4,2025-01-02,2.409,2.032
53,5,2025-01-02,2.711,3.426
53,6,2025-01-02,2.940,4.034
53,7,2025-01-02,3.142,4.320
54,1,2025-01-02,1.684,3.012
54,2,2025-01-02,1.879,1.970
54,3,2025-01-02,2.225,2.032
54,4,2025-01-02,2.583,3.426
54,5,2025-01-02,2.852,4.034
54,6,2025-01-02,3.090,4.320
54,7,2025-01-02,3.189,3.074
55,1,2025-01-02,1.932,1.970
55,2,2025-01-02,2.118,2.032
55,3,2025-01-02,2.378,3.426
55,4,2025-01-02,2.642,4.034
55,5,2025-01-02,2.962,4.320
55,6,2025-01-02,3.208,3.074
55,7,2025-01-02,3.414,3.322
56,1,2025-01-02,1.951,2.032
56,2,2025-01-02,2.260,3.426
56,3,2025-01-02,2.664,4.034
56,4,2025-01-02,3.024,4.320
56,5,2025-01-02,3.300,3.074
56,6,2025-01-02,3.543,3.322
56,7,2025-01-02,3.772,4.185
57,1,2025-01-02,2.029,3.426
57,2,2025-01-02,2.317,4.034
57,3,2025-01-02,2.605,4.320
57,4,2025-01-02,2.855,3.074
57,5,2025-01-02,3.045,3.322
57,6,2025-01-02,3.263,4.185
57,7,2025-01-02,3.465,3.520
58,1,2025-01-02,2.255,4.034
58,2,2025-01-02,2.666,4.320
58,3,2025-01-02,3.014,3.074
58,4,2025-01-02,3.288,3.322
58,5,2025-01-02,3.517,4.185
58,6,2025-01-02,3.731,3.520
58,7,2025-01-02,3.910,1.950
59,1,2025-01-02,2.463,4.320
59,2,2025-01-02,2.964,3.074
59,3,2025-01-02,3.289,3.322
59,4,2025-01-02,3.628,4.185
59,5,2025-01-02,3.828,3.520
59,6,2025-01-02,4.012,1.950
59,7,2025-01-02,4.149,4.246
60,1,2025-01-02,2.858,3.074
60,2,2025-01-02,3.371,3.322
60,3,2025-01-02,3.660,4.185
60,4,2025-01-02,3.835,3.520
60,5,2025-01-02,3.962,1.950
60,6,2025-01-02,4.076,4.246
60,7,2025-01-02,4.183,4.735
61,1,2025-01-02,2.589,3.322
61,2,2025-01-02,3.137,4.185
61,3,2025-01-02,3.573,3.520
61,4,2025-01-02,3.819,1.950
61,5,2025-01-02,3.958,4.246
61,6,2025-01-02,4.080,4.735
61,7,2025-01-02,4.192,3.835
62,1,2025-01-02,2.491,4.185
62,2,2025-01-02,2.799,3.520
62,3,2025-01-02,3.241,1.950
62,4,2025-01-02,3.483,4.246
62,5,2025-01-02,3.688,4.735
62,6,2025-01-02,3.848,3.835
62,7,2025-01-02,4.089,2.429
63,1,2025-01-02,2.422,3.520
63,2,2025-01-02,2.559,1.950
63,3,2025-01-02,2.891,4.246
63,4,2025-01-02,3.161,4.735
63,5,2025-01-02,3.437,3.835
63,6,2025-01-02,3.616,2.429
63,7,2025-01-02,3.824,3.494
64,1,2025-01-02,2.609,1.950
64,2,2025-01-02,2.848,4.246
64,3,2025-01-02,3.212,4.735
64,4,2025-01-02,3.555,3.835
64,5,2025-01-02,3.844,2.429
64,6,2025-01-02,4.085,3.494
64,7,2025-01-02,4.308,4.078
65,1,2025-01-02,2.321,4.246
65,2,2025-01-02,2.704,4.735
65,3,2025-01-02,3.057,3.835
65,4,2025-01-02,3.365,2.429
65,5,2025-01-02,3.643,3.494
65,6,2025-01-02,3.846,4.078
65,7,2025-01-02,4.068,5.024
66,1,2025-01-02,2.804,4.735
66,2,2025-01-02,2.904,3.835
66,3,2025-01-02,3.180,2.429
66,4,2025-01-02,3.464,3.494
66,5,2025-01-02,3.728,4.078
66,6,2025-01-02,3.633,5.024
66,7,2025-01-02,4.025,5.974
67,1,2025-01-02,3.115,3.835
67,2,2025-01-02,3.526,2.429
67,3,2025-01-02,3.851,3.494
67,4,2025-01-02,3.995,4.078
67,5,2025-01-02,4.375,5.024
67,6,2025-01-02,4.537,5.974
67,7,2025-01-02,4.634,6.366
68,1,2025-01-02,3.036,2.429
68,2,2025-01-02,3.353,3.494
68,3,2025-01-02,3.787,4.078
68,4,2025-01-02,4.065,5.024
68,5,2025-01-02,4.356,5.974
68,6,2025-01-02,4.649,6.366
68,7,2025-01-02,4.854,6.310
69,1,2025-01-02,2.970,3.494
69,2,2025-01-02,3.624,4.078
69,3,2025-01-02,4.028,5.024
69,4,2025-01-02,4.310,5.974
69,5,2025-01-02,4.559,6.366
69,6,2025-01-02,4.672,6.310
69,7,2025-01-02,4.779,3.842
70,1,2025-01-02,3.222,4.078
70,2,2025-01-02,3.610,5.024
70,3,2025-01-02,4.075,5.974
70,4,2025-01-02,4.358,6.366
70,5,2025-01-02,4.607,6.310
70,6,2025-01-02,4.789,3.842
70,7,2025-01-02,4.938,4.090
71,1,2025-01-02,3.274,5.024
71,2,2025-01-02,3.633,5.974
71,3,2025-01-02,4.006,6.366
71,4,2025-01-02,4.323,6.310
71,5,2025-01-02,4.572,3.842
71,6,2025-01-02,4.737,4.090
71,7,2025-01-02,4.965,4.995
72,1,2025-01-02,3.559,5.974
72,2,2025-01-02,3.923,6.366
72,3,2025-01-02,4.287,6.310
72,4,2025-01-02,4.531,3.842
72,5,2025-01-02,4.656,4.090
72,6,2025-01-02,4.790,4.995
72,7,2025-01-02,4.914,5.382
