Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.026,3.140
0,2,2025-01-01,2.160,2.305
0,3,2025-01-01,2.244,4.108
0,4,2025-01-01,2.287,4.553
0,5,2025-01-01,2.491,4.018
0,6,2025-01-01,2.512,4.312
0,7,2025-01-01,2.560,4.636
1,1,2025-01-01,1.907,2.305
1,2,2025-01-01,2.153,4.108
1,3,2025-01-01,2.214,4.553
1,4,2025-01-01,2.396,4.018
1,5,2025-01-01,2.570,4.312
1,6,2025-01-01,2.768,4.636
1,7,2025-01-01,2.893,2.920
2,1,2025-01-01,1.997,4.108
2,2,2025-01-01,2.414,4.553
2,3,2025-01-01,2.446,4.018
2,4,2025-01-01,2.534,4.312
2,5,2025-01-01,2.676,4.636
2,6,2025-01-01,2.762,2.920
2,7,2025-01-01,2.953,1.282
3,1,2025-01-01,2.615,4.553
3,2,2025-01-01,2.781,4.018
3,3,2025-01-01,2.872,4.312
3,4,2025-01-01,2.948,4.636
3,5,2025-01-01,3.011,2.920
3,6,2025-01-01,3.051,1.282
3,7,2025-01-01,3.089,4.847
4,1,2025-01-01,2.668,4.018
4,2,2025-01-01,2.964,4.312
4,3,2025-01-01,3.069,4.636
4,4,2025-01-01,3.190,2.920
4,5,2025-01-01,3.282,1.282
4,6,2025-01-01,3.320,4.847
4,7,2025-01-01,3.444,4.683
5,1,2025-01-01,2.715,4.312
5,2,2025-01-01,2.949,4.636
5,3,2025-01-01,3.145,2.920
5,4,2025-01-01,3.374,1.282
5,5,2025-01-01,3.560,4.847
5,6,2025-01-01,3.714,4.683
5,7,2025-01-01,3.916,4.033
6,1,2025-01-01,3.003,4.636
6,2,2025-01-01,3.295,2.920
6,3,2025-01-01,3.537,1.282
6,4,2025-01-01,3.698,4.847
6,5,2025-01-01,3.869,4.683
6,6,2025-01-01,4.001,4.033
6,7,2025-01-01,4.233,4.072
7,1,2025-01-01,3.337,2.920
7,2,2025-01-01,3.641,1.282
7,3,2025-01-01,3.869,4.847
7,4,2025-01-01,4.018,4.683
7,5,2025-01-01,4.182,4.033
7,6,2025-01-01,4.339,4.072
7,7,2025-01-01,4.544,2.835
8,1,2025-01-01,3.260,1.282
8,2,2025-01-01,3.773,4.847
8,3,2025-01-01,3.883,4.683
8,4,2025-01-01,3.936,4.033
8,5,2025-01-01,3.997,4.072
8,6,2025-01-01,4.056,2.835
8,7,2025-01-01,4.098,4.973
9,1,2025-01-01,3.088,4.847
9,2,2025-01-01,3.606,4.683
9,3,2025-01-01,3.853,4.033
9,4,2025-01-01,3.970,4.072
9,5,2025-01-01,4.037,2.835
9,6,2025-01-01,4.140,4.973
9,7,2025-01-01,4.229,5.388
10,1,2025-01-01,3.428,4.683
10,2,2025-01-01,3.591,4.033
10,3,2025-01-01,3.827,4.072
10,4,2025-01-01,3.941,2.835
10,5,2025-01-01,4.041,4.973
10,6,2025-01-01,4.162,5.388
10,7,2025-01-01,4.195,5.848
11,1,2025-01-01,3.680,4.033
11,2,2025-01-01,4.087,4.072
11,3,2025-01-01,4.373,2.835
11,4,2025-01-01,4.552,4.973
11,5,2025-01-01,4.708,5.388
11,6,2025-01-01,4.811,5.848
11,7,2025-01-01,4.847,5.689
12,1,2025-01-01,3.901,4.072
12,2,2025-01-01,4.330,2.835
12,3,2025-01-01,4.426,4.973
12,4,2025-01-01,4.490,5.388
12,5,2025-01-01,4.469,5.848
12,6,2025-01-01,4.469,5.689
12,7,2025-01-01,4.455,2.778
13,1,2025-01-01,3.739,2.835
13,2,2025-01-01,4.316,4.973
13,3,2025-01-01,4.326,5.388
13,4,2025-01-01,4.381,5.848
13,5,2025-01-01,4.288,5.689
13,6,2025-01-01,4.299,2.778
13,7,2025-01-01,4.225,5.945
14,1,2025-01-01,3.223,4.973
14,2,2025-01-01,3.717,5.388
14,3,2025-01-01,4.072,5.848
14,4,2025-01-01,4.217,5.689
14,5,2025-01-01,4.218,2.778
14,6,2025-01-01,4.296,5.945
14,7,2025-01-01,4.286,6.142
15,1,2025-01-01,4.022,5.388
15,2,2025-01-01,4.387,5.848
15,3,2025-01-01,4.432,5.689
15,4,2025-01-01,4.448,2.778
15,5,2025-01-01,4.457,5.945
15,6,2025-01-01,4.404,6.142
