Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.538,0.944
0,2,2025-01-01,0.553,0.648
0,3,2025-01-01,0.554,0.907
0,4,2025-01-01,0.542,0.853
0,5,2025-01-01,0.536,0.759
0,6,2025-01-01,0.520,1.143
0,7,2025-01-01,0.545,1.174
1,1,2025-01-01,0.561,0.648
1,2,2025-01-01,0.571,0.907
1,3,2025-01-01,0.581,0.853
1,4,2025-01-01,0.559,0.759
1,5,2025-01-01,0.555,1.143
1,6,2025-01-01,0.558,1.174
1,7,2025-01-01,0.578,0.579
2,1,2025-01-01,0.576,0.907
2,2,2025-01-01,0.580,0.853
2,3,2025-01-01,0.594,0.759
2,4,2025-01-01,0.599,1.143
2,5,2025-01-01,0.555,1.174
2,6,2025-01-01,0.580,0.579
2,7,2025-01-01,0.578,1.240
3,1,2025-01-01,0.600,0.853
3,2,2025-01-01,0.625,0.759
3,3,2025-01-01,0.648,1.143
3,4,2025-01-01,0.630,1.174
3,5,2025-01-01,0.676,0.579
3,6,2025-01-01,0.664,1.240
3,7,2025-01-01,0.703,0.838
4,1,2025-01-01,0.642,0.759
4,2,2025-01-01,0.677,1.143
4,3,2025-01-01,0.707,1.174
4,4,2025-01-01,0.743,0.579
4,5,2025-01-01,0.775,1.240
4,6,2025-01-01,0.833,0.838
4,7,2025-01-01,0.889,1.066
5,1,2025-01-01,0.733,1.143
5,2,2025-01-01,0.705,1.174
5,3,2025-01-01,0.745,0.579
5,4,2025-01-01,0.860,1.240
5,5,2025-01-01,0.883,0.838
5,6,2025-01-01,0.932,1.066
5,7,2025-01-01,0.963,1.179
6,1,2025-01-01,0.763,1.174
6,2,2025-01-01,0.765,0.579
6,3,2025-01-01,0.770,1.240
6,4,2025-01-01,0.732,0.838
6,5,2025-01-01,0.778,1.066
6,6,2025-01-01,0.820,1.179
6,7,2025-01-01,0.909,1.303
7,1,2025-01-01,0.819,0.579
7,2,2025-01-01,0.900,1.240
7,3,2025-01-01,0.855,0.838
7,4,2025-01-01,0.967,1.066
7,5,2025-01-01,1.034,1.179
7,6,2025-01-01,1.162,1.303
7,7,2025-01-01,1.144,1.296
8,1,2025-01-01,0.775,1.240
8,2,2025-01-01,0.904,0.838
8,3,2025-01-01,0.935,1.066
8,4,2025-01-01,0.895,1.179
8,5,2025-01-01,0.992,1.303
8,6,2025-01-01,1.081,1.296
8,7,2025-01-01,1.163,1.108
9,1,2025-01-01,0.816,0.838
9,2,2025-01-01,0.896,1.066
9,3,2025-01-01,0.946,1.179
9,4,2025-01-01,0.992,1.303
9,5,2025-01-01,1.037,1.296
9,6,2025-01-01,1.094,1.108
9,7,2025-01-01,1.112,0.574
10,1,2025-01-01,0.820,1.066
10,2,2025-01-01,0.881,1.179
10,3,2025-01-01,0.898,1.303
10,4,2025-01-01,0.956,1.296
10,5,2025-01-01,0.975,1.108
10,6,2025-01-01,1.008,0.574
10,7,2025-01-01,1.021,0.715
11,1,2025-01-01,0.837,1.179
11,2,2025-01-01,0.859,1.303
11,3,2025-01-01,0.880,1.296
11,4,2025-01-01,0.885,1.108
11,5,2025-01-01,0.892,0.574
11,6,2025-01-01,0.924,0.715
11,7,2025-01-01,0.860,0.746
12,1,2025-01-01,0.835,1.303
12,2,2025-01-01,0.824,1.296
12,3,2025-01-01,0.829,1.108
12,4,2025-01-01,0.836,0.574
12,5,2025-01-01,0.810,0.715
12,6,2025-01-01,0.835,0.746
12,7,2025-01-01,0.808,1.850
13,1,2025-01-01,0.768,1.296
13,2,2025-01-01,0.743,1.108
13,3,2025-01-01,0.790,0.574
13,4,2025-01-01,0.755,0.715
13,5,2025-01-01,0.760,0.746
13,6,2025-01-01,0.761,1.850
13,7,2025-01-01,0.813,1.421
14,1,2025-01-01,0.787,1.108
14,2,2025-01-01,0.748,0.574
14,3,2025-01-01,0.802,0.715
14,4,2025-01-01,0.790,0.746
14,5,2025-01-01,0.772,1.850
14,6,2025-01-01,0.787,1.421
14,7,2025-01-01,0.885,1.052
15,1,2025-01-01,0.811,0.574
15,2,2025-01-01,0.795,0.715
15,3,2025-01-01,0.801,0.746
15,4,2025-01-01,0.814,1.850
15,5,2025-01-01,0.801,1.421
15,6,2025-01-01,0.787,1.052
15,7,2025-01-01,0.906,0.978
16,1,2025-01-01,0.670,0.715
16,2,2025-01-01,0.726,0.746
16,3,2025-01-01,0.716,1.850
16,4,2025-01-01,0.753,1.421
16,5,2025-01-01,0.817,1.052
16,6,2025-01-01,0.798,0.978
16,7,2025-01-01,0.862,1.077
17,1,2025-01-01,0.637,0.746
17,2,2025-01-01,0.724,1.850
17,3,2025-01-01,0.711,1.421
17,4,2025-01-01,0.753,1.052
17,5,2025-01-01,0.737,0.978
17,6,2025-01-01,0.740,1.077
17,7,2025-01-01,0.826,1.136
18,1,2025-01-01,0.669,1.850
18,2,2025-01-01,0.700,1.421
18,3,2025-01-01,0.703,1.052
18,4,2025-01-01,0.708,0.978
18,5,2025-01-01,0.708,1.077
18,6,2025-01-01,0.679,1.136
18,7,2025-01-01,0.749,0.793
19,1,2025-01-01,0.831,1.421
19,2,2025-01-01,0.801,1.052
19,3,2025-01-01,0.827,0.978
19,4,2025-01-01,0.806,1.077
19,5,2025-01-01,0.838,1.136
19,6,2025-01-01,0.757,0.793
19,7,2025-01-01,0.811,0.896
20,1,2025-01-01,0.757,1.052
20,2,2025-01-01,0.748,0.978
20,3,2025-01-01,0.764,1.077
20,4,2025-01-01,0.786,1.136
20,5,2025-01-01,0.793,0.793
20,6,2025-01-01,0.753,0.896
20,7,2025-01-01,0.842,0.938
21,1,2025-01-01,0.736,0.978
21,2,2025-01-01,0.761,1.077
21,3,2025-01-01,0.774,1.136
21,4,2025-01-01,0.767,0.793
21,5,2025-01-01,0.775,0.896
21,6,2025-01-01,0.829,0.938
21,7,2025-01-01,0.928,0.924
22,1,2025-01-01,0.714,1.077
22,2,2025-01-01,0.755,1.136
22,3,2025-01-01,0.812,0.793
22,4,2025-01-01,0.846,0.896
22,5,2025-01-01,0.843,0.938
22,6,2025-01-01,0.830,0.924
22,7,2025-01-01,0.886,1.099
23,1,2025-01-01,0.745,1.136
23,2,2025-01-01,0.784,0.793
23,3,2025-01-01,0.801,0.896
23,4,2025-01-01,0.797,0.938
23,5,2025-01-01,0.778,0.924
23,6,2025-01-01,0.839,1.099
23,7,2025-01-01,0.861,0.739
24,1,2025-01-01,0.709,0.793
24,2,2025-01-01,0.752,0.896
24,3,2025-01-01,0.805,0.938
24,4,2025-01-01,0.797,0.924
24,5,2025-01-01,0.778,1.099
24,6,2025-01-01,0.804,0.739
24,7,2025-01-02,0.872,1.398
25,1,2025-01-01,0.725,0.896
25,2,2025-01-01,0.759,0.938
25,3,2025-01-01,0.789,0.924
25,4,2025-01-01,0.778,1.099
25,5,2025-01-01,0.771,0.739
25,6,2025-01-02,0.795,1.398
25,7,2025-01-02,0.942,3.044
26,1,2025-01-01,0.838,0.938
26,2,2025-01-01,0.867,0.924
26,3,2025-01-01,0.795,1.099
26,4,2025-01-01,0.798,0.739
26,5,2025-01-02,0.773,1.398
26,6,2025-01-02,0.816,3.044
26,7,2025-01-02,0.877,2.289
27,1,2025-01-01,0.759,0.924
27,2,2025-01-01,0.809,1.099
27,3,2025-01-01,0.853,0.739
27,4,2025-01-02,0.786,1.398
27,5,2025-01-02,0.870,3.044
27,6,2025-01-02,0.894,2.289
27,7,2025-01-02,0.921,2.185
28,1,2025-01-01,0.843,1.099
28,2,2025-01-01,0.836,0.739
28,3,2025-01-02,0.859,1.398
28,4,2025-01-02,0.867,3.044
28,5,2025-01-02,0.861,2.289
28,6,2025-01-02,0.877,2.185
28,7,2025-01-02,0.910,2.907
29,1,2025-01-01,0.852,0.739
29,2,2025-01-02,0.830,1.398
29,3,2025-01-02,0.872,3.044
29,4,2025-01-02,0.772,2.289
29,5,2025-01-02,0.884,2.185
29,6,2025-01-02,0.938,2.907
29,7,2025-01-02,1.008,2.574
30,1,2025-01-02,0.867,1.398
30,2,2025-01-02,0.840,3.044
30,3,2025-01-02,0.884,2.289
30,4,2025-01-02,0.902,2.185
30,5,2025-01-02,0.852,2.907
30,6,2025-01-02,0.967,2.574
30,7,2025-01-02,1.043,1.492
31,1,2025-01-02,0.887,3.044
31,2,2025-01-02,0.964,2.289
31,3,2025-01-02,0.923,2.185
31,4,2025-01-02,0.919,2.907
31,5,2025-01-02,1.011,2.574
31,6,2025-01-02,0.998,1.492
31,7,2025-01-02,1.223,1.524
32,1,2025-01-02,1.083,2.289
32,2,2025-01-02,1.182,2.185
32,3,2025-01-02,1.224,2.907
32,4,2025-01-02,1.056,2.574
32,5,2025-01-02,1.159,1.492
32,6,2025-01-02,1.340,1.524
32,7,2025-01-02,1.532,2.032
33,1,2025-01-02,1.265,2.185
33,2,2025-01-02,1.402,2.907
33,3,2025-01-02,1.344,2.574
33,4,2025-01-02,1.469,1.492
33,5,2025-01-02,1.435,1.524
33,6,2025-01-02,1.537,2.032
33,7,2025-01-02,1.752,1.695
34,1,2025-01-02,1.356,2.907
34,2,2025-01-02,1.457,2.574
34,3,2025-01-02,1.522,1.492
34,4,2025-01-02,1.642,1.524
34,5,2025-01-02,1.626,2.032
34,6,2025-01-02,1.824,1.695
34,7,2025-01-02,1.986,3.132
35,1,2025-01-02,1.410,2.574
35,2,2025-01-02,1.513,1.492
35,3,2025-01-02,1.622,1.524
35,4,2025-01-02,1.695,2.032
35,5,2025-01-02,1.733,1.695
35,6,2025-01-02,2.024,3.132
35,7,2025-01-02,2.120,2.639
36,1,2025-01-02,1.406,1.492
36,2,2025-01-02,1.435,1.524
36,3,2025-01-02,1.503,2.032
36,4,2025-01-02,1.708,1.695
36,5,2025-01-02,1.837,3.132
36,6,2025-01-02,1.966,2.639
36,7,2025-01-02,2.193,2.317
37,1,2025-01-02,1.334,1.524
37,2,2025-01-02,1.521,2.032
37,3,2025-01-02,1.780,1.695
37,4,2025-01-02,1.813,3.132
37,5,2025-01-02,2.049,2.639
37,6,2025-01-02,2.173,2.317
37,7,2025-01-02,2.324,2.363
38,1,2025-01-02,1.354,2.032
38,2,2025-01-02,1.507,1.695
38,3,2025-01-02,1.717,3.132
38,4,2025-01-02,1.815,2.639
38,5,2025-01-02,2.015,2.317
38,6,2025-01-02,2.020,2.363
38,7,2025-01-02,2.250,3.165
39,1,2025-01-02,1.334,1.695
39,2,2025-01-02,1.518,3.132
39,3,2025-01-02,1.592,2.639
39,4,2025-01-02,1.690,2.317
39,5,2025-01-02,1.823,2.363
39,6,2025-01-02,1.988,3.165
39,7,2025-01-02,2.153,3.419
40,1,2025-01-02,1.339,3.132
40,2,2025-01-02,1.419,2.639
40,3,2025-01-02,1.465,2.317
40,4,2025-01-02,1.600,2.363
40,5,2025-01-02,1.657,3.165
40,6,2025-01-02,1.757,3.419
40,7,2025-01-02,1.951,3.938
41,1,2025-01-02,1.538,2.639
41,2,2025-01-02,1.659,2.317
41,3,2025-01-02,1.580,2.363
41,4,2025-01-02,1.615,3.165
41,5,2025-01-02,1.685,3.419
41,6,2025-01-02,1.833,3.938
41,7,2025-01-02,2.015,4.236
42,1,2025-01-02,1.692,2.317
42,2,2025-01-02,1.726,2.363
42,3,2025-01-02,1.677,3.165
42,4,2025-01-02,1.602,3.419
42,5,2025-01-02,1.662,3.938
42,6,2025-01-02,1.558,4.236
42,7,2025-01-02,1.735,4.112
43,1,2025-01-02,1.763,2.363
43,2,2025-01-02,1.833,3.165
43,3,2025-01-02,1.830,3.419
43,4,2025-01-02,1.818,3.938
43,5,2025-01-02,1.655,4.236
43,6,2025-01-02,1.747,4.112
43,7,2025-01-02,1.868,3.812
44,1,2025-01-02,1.864,3.165
44,2,2025-01-02,1.978,3.419
44,3,2025-01-02,2.004,3.938
44,4,2025-01-02,2.053,4.236
44,5,2025-01-02,2.039,4.112
44,6,2025-01-02,2.177,3.812
44,7,2025-01-02,2.344,1.860
45,1,2025-01-02,2.025,3.419
45,2,2025-01-02,2.122,3.938
45,3,2025-01-02,2.126,4.236
45,4,2025-01-02,2.110,4.112
45,5,2025-01-02,2.198,3.812
45,6,2025-01-02,2.234,1.860
45,7,2025-01-02,2.478,2.149
46,1,2025-01-02,2.199,3.938
46,2,2025-01-02,2.361,4.236
46,3,2025-01-02,2.418,4.112
46,4,2025-01-02,2.439,3.812
46,5,2025-01-02,2.363,1.860
46,6,2025-01-02,2.390,2.149
46,7,2025-01-02,2.602,2.217
47,1,2025-01-02,2.310,4.236
47,2,2025-01-02,2.472,4.112
47,3,2025-01-02,2.552,3.812
47,4,2025-01-02,2.607,1.860
47,5,2025-01-02,2.560,2.149
47,6,2025-01-02,2.460,2.217
47,7,2025-01-02,2.762,1.882
48,1,2025-01-02,2.291,4.112
48,2,2025-01-02,2.540,3.812
48,3,2025-01-02,2.596,1.860
48,4,2025-01-02,2.664,2.149
48,5,2025-01-02,2.737,2.217
48,6,2025-01-02,2.848,1.882
48,7,2025-01-02,3.075,3.627
49,1,2025-01-02,2.409,3.812
49,2,2025-01-02,2.693,1.860
49,3,2025-01-02,2.919,2.149
49,4,2025-01-02,3.018,2.217
49,5,2025-01-02,3.028,1.882
49,6,2025-01-02,3.245,3.627
49,7,2025-01-02,3.377,2.076
50,1,2025-01-02,2.404,1.860
50,2,2025-01-02,2.789,2.149
50,3,2025-01-02,2.953,2.217
50,4,2025-01-02,3.189,1.882
50,5,2025-01-02,3.308,3.627
50,6,2025-01-02,3.327,2.076
50,7,2025-01-02,3.406,1.749
51,1,2025-01-02,1.966,2.149
51,2,2025-01-02,2.237,2.217
51,3,2025-01-02,2.701,1.882
