Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.593,0.861
0,2,2025-01-01,0.592,0.809
0,3,2025-01-01,0.627,0.450
0,4,2025-01-01,0.644,1.133
0,5,2025-01-01,0.647,0.416
0,6,2025-01-01,0.642,1.423
0,7,2025-01-01,0.651,0.688
1,1,2025-01-01,0.599,0.809
1,2,2025-01-01,0.592,0.450
1,3,2025-01-01,0.608,1.133
1,4,2025-01-01,0.604,0.416
1,5,2025-01-01,0.616,1.423
1,6,2025-01-01,0.618,0.688
1,7,2025-01-01,0.643,0.572
2,1,2025-01-01,0.620,0.450
2,2,2025-01-01,0.618,1.133
2,3,2025-01-01,0.670,0.416
2,4,2025-01-01,0.703,1.423
2,5,2025-01-01,0.668,0.688
2,6,2025-01-01,0.712,0.572
2,7,2025-01-01,0.721,1.283
3,1,2025-01-01,0.548,1.133
3,2,2025-01-01,0.588,0.416
3,3,2025-01-01,0.617,1.423
3,4,2025-01-01,0.673,0.688
3,5,2025-01-01,0.717,0.572
3,6,2025-01-01,0.759,1.283
3,7,2025-01-01,0.780,1.421
4,1,2025-01-01,0.713,0.416
4,2,2025-01-01,0.720,1.423
4,3,2025-01-01,0.768,0.688
4,4,2025-01-01,0.802,0.572
4,5,2025-01-01,0.816,1.283
4,6,2025-01-01,0.872,1.421
4,7,2025-01-01,0.908,1.389
5,1,2025-01-01,0.659,1.423
5,2,2025-01-01,0.712,0.688
5,3,2025-01-01,0.806,0.572
5,4,2025-01-01,0.895,1.283
5,5,2025-01-01,0.968,1.421
5,6,2025-01-01,1.070,1.389
5,7,2025-01-01,1.077,1.192
6,1,2025-01-01,0.757,0.688
6,2,2025-01-01,0.702,0.572
6,3,2025-01-01,0.718,1.283
6,4,2025-01-01,0.786,1.421
6,5,2025-01-01,0.839,1.389
6,6,2025-01-01,0.909,1.192
6,7,2025-01-01,0.931,1.187
7,1,2025-01-01,0.757,0.572
7,2,2025-01-01,0.807,1.283
7,3,2025-01-01,0.828,1.421
7,4,2025-01-01,0.912,1.389
7,5,2025-01-01,0.977,1.192
7,6,2025-01-01,1.080,1.187
7,7,2025-01-01,1.039,1.214
8,1,2025-01-01,0.689,1.283
8,2,2025-01-01,0.813,1.421
8,3,2025-01-01,0.862,1.389
8,4,2025-01-01,0.821,1.192
8,5,2025-01-01,0.890,1.187
8,6,2025-01-01,0.979,1.214
8,7,2025-01-01,0.987,1.287
9,1,2025-01-01,0.810,1.421
9,2,2025-01-01,0.886,1.389
9,3,2025-01-01,0.908,1.192
9,4,2025-01-01,0.995,1.187
9,5,2025-01-01,1.050,1.214
9,6,2025-01-01,1.053,1.287
9,7,2025-01-01,1.062,0.819
10,1,2025-01-01,0.921,1.389
10,2,2025-01-01,0.922,1.192
10,3,2025-01-01,0.980,1.187
10,4,2025-01-01,1.016,1.214
10,5,2025-01-01,1.041,1.287
10,6,2025-01-01,1.088,0.819
10,7,2025-01-01,1.173,0.602
11,1,2025-01-01,0.845,1.192
11,2,2025-01-01,0.866,1.187
11,3,2025-01-01,0.866,1.214
11,4,2025-01-01,0.870,1.287
11,5,2025-01-01,0.967,0.819
11,6,2025-01-01,0.958,0.602
11,7,2025-01-01,1.004,1.107
12,1,2025-01-01,0.854,1.187
12,2,2025-01-01,0.853,1.214
12,3,2025-01-01,0.862,1.287
12,4,2025-01-01,0.879,0.819
12,5,2025-01-01,0.862,0.602
12,6,2025-01-01,0.871,1.107
12,7,2025-01-01,0.847,1.520
13,1,2025-01-01,0.811,1.214
13,2,2025-01-01,0.813,1.287
13,3,2025-01-01,0.840,0.819
13,4,2025-01-01,0.806,0.602
13,5,2025-01-01,0.848,1.107
13,6,2025-01-01,0.830,1.520
13,7,2025-01-01,0.805,1.662
14,1,2025-01-01,0.855,1.287
14,2,2025-01-01,0.839,0.819
14,3,2025-01-01,0.854,0.602
14,4,2025-01-01,0.873,1.107
14,5,2025-01-01,0.858,1.520
14,6,2025-01-01,0.861,1.662
14,7,2025-01-01,0.940,1.608
15,1,2025-01-01,0.856,0.819
15,2,2025-01-01,0.870,0.602
15,3,2025-01-01,0.895,1.107
15,4,2025-01-01,0.915,1.520
15,5,2025-01-01,0.958,1.662
15,6,2025-01-01,0.928,1.608
15,7,2025-01-01,0.999,0.873
16,1,2025-01-01,0.800,0.602
16,2,2025-01-01,0.832,1.107
16,3,2025-01-01,0.888,1.520
16,4,2025-01-01,0.907,1.662
16,5,2025-01-01,0.972,1.608
16,6,2025-01-01,0.978,0.873
16,7,2025-01-01,1.032,0.848
17,1,2025-01-01,0.681,1.107
17,2,2025-01-01,0.751,1.520
17,3,2025-01-01,0.766,1.662
17,4,2025-01-01,0.765,1.608
17,5,2025-01-01,0.737,0.873
17,6,2025-01-01,0.742,0.848
17,7,2025-01-01,0.885,0.931
18,1,2025-01-01,0.799,1.520
18,2,2025-01-01,0.831,1.662
18,3,2025-01-01,0.832,1.608
18,4,2025-01-01,0.835,0.873
18,5,2025-01-01,0.824,0.848
18,6,2025-01-01,0.812,0.931
18,7,2025-01-01,0.905,0.947
19,1,2025-01-01,0.916,1.662
19,2,2025-01-01,0.918,1.608
19,3,2025-01-01,0.939,0.873
19,4,2025-01-01,0.942,0.848
19,5,2025-01-01,0.969,0.931
19,6,2025-01-01,0.952,0.947
19,7,2025-01-01,0.985,1.057
20,1,2025-01-01,0.955,1.608
20,2,2025-01-01,0.959,0.873
20,3,2025-01-01,0.984,0.848
20,4,2025-01-01,0.994,0.931
20,5,2025-01-01,0.982,0.947
20,6,2025-01-01,1.041,1.057
20,7,2025-01-01,1.036,1.389
21,1,2025-01-01,0.945,0.873
21,2,2025-01-01,1.019,0.848
21,3,2025-01-01,1.039,0.931
21,4,2025-01-01,0.908,0.947
21,5,2025-01-01,0.990,1.057
21,6,2025-01-01,1.066,1.389
21,7,2025-01-01,1.216,1.394
22,1,2025-01-01,0.960,0.848
22,2,2025-01-01,0.962,0.931
22,3,2025-01-01,1.028,0.947
22,4,2025-01-01,1.063,1.057
22,5,2025-01-01,1.080,1.389
22,6,2025-01-01,1.116,1.394
22,7,2025-01-01,1.217,1.183
23,1,2025-01-01,0.864,0.931
23,2,2025-01-01,0.946,0.947
23,3,2025-01-01,0.885,1.057
23,4,2025-01-01,0.946,1.389
23,5,2025-01-01,0.983,1.394
23,6,2025-01-01,1.015,1.183
23,7,2025-01-01,1.095,1.241
24,1,2025-01-01,0.753,0.947
24,2,2025-01-01,0.869,1.057
24,3,2025-01-01,0.888,1.389
24,4,2025-01-01,0.880,1.394
24,5,2025-01-01,0.885,1.183
24,6,2025-01-01,0.959,1.241
24,7,2025-01-02,1.088,1.139
25,1,2025-01-01,0.777,1.057
25,2,2025-01-01,0.832,1.389
25,3,2025-01-01,0.883,1.394
25,4,2025-01-01,0.847,1.183
25,5,2025-01-01,0.884,1.241
25,6,2025-01-02,0.892,1.139
25,7,2025-01-02,1.107,1.679
26,1,2025-01-01,0.874,1.389
26,2,2025-01-01,0.878,1.394
26,3,2025-01-01,0.874,1.183
26,4,2025-01-01,0.903,1.241
26,5,2025-01-02,0.816,1.139
26,6,2025-01-02,0.877,1.679
26,7,2025-01-02,0.972,1.601
27,1,2025-01-01,0.846,1.394
27,2,2025-01-01,0.871,1.183
27,3,2025-01-01,0.898,1.241
27,4,2025-01-02,0.882,1.139
27,5,2025-01-02,0.955,1.679
27,6,2025-01-02,0.986,1.601
27,7,2025-01-02,1.037,1.689
28,1,2025-01-01,0.868,1.183
28,2,2025-01-01,0.870,1.241
28,3,2025-01-02,0.886,1.139
28,4,2025-01-02,0.891,1.679
28,5,2025-01-02,0.921,1.601
28,6,2025-01-02,0.969,1.689
28,7,2025-01-02,1.002,3.149
29,1,2025-01-01,0.863,1.241
29,2,2025-01-02,0.842,1.139
29,3,2025-01-02,0.881,1.679
29,4,2025-01-02,0.847,1.601
29,5,2025-01-02,0.930,1.689
29,6,2025-01-02,1.013,3.149
29,7,2025-01-02,1.104,1.984
30,1,2025-01-02,0.885,1.139
30,2,2025-01-02,0.872,1.679
30,3,2025-01-02,0.927,1.601
30,4,2025-01-02,0.968,1.689
30,5,2025-01-02,1.033,3.149
30,6,2025-01-02,1.120,1.984
30,7,2025-01-02,1.255,2.719
31,1,2025-01-02,0.947,1.679
31,2,2025-01-02,0.981,1.601
31,3,2025-01-02,1.042,1.689
31,4,2025-01-02,1.056,3.149
31,5,2025-01-02,1.161,1.984
31,6,2025-01-02,1.184,2.719
31,7,2025-01-02,1.347,2.215
32,1,2025-01-02,1.006,1.601
32,2,2025-01-02,1.017,1.689
32,3,2025-01-02,1.168,3.149
32,4,2025-01-02,1.300,1.984
32,5,2025-01-02,1.351,2.719
32,6,2025-01-02,1.461,2.215
32,7,2025-01-02,1.630,2.403
33,1,2025-01-02,1.169,1.689
33,2,2025-01-02,1.261,3.149
33,3,2025-01-02,1.381,1.984
33,4,2025-01-02,1.455,2.719
33,5,2025-01-02,1.528,2.215
33,6,2025-01-02,1.595,2.403
33,7,2025-01-02,1.761,1.485
34,1,2025-01-02,1.032,3.149
34,2,2025-01-02,1.200,1.984
34,3,2025-01-02,1.276,2.719
34,4,2025-01-02,1.442,2.215
34,5,2025-01-02,1.538,2.403
34,6,2025-01-02,1.631,1.485
34,7,2025-01-02,1.738,2.454
35,1,2025-01-02,1.438,1.984
35,2,2025-01-02,1.559,2.719
35,3,2025-01-02,1.604,2.215
35,4,2025-01-02,1.663,2.403
35,5,2025-01-02,1.590,1.485
