Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.487,0.944
0,2,2025-01-01,0.489,0.648
0,3,2025-01-01,0.502,0.907
0,4,2025-01-01,0.511,0.853
0,5,2025-01-01,0.516,0.759
0,6,2025-01-01,0.498,1.143
0,7,2025-01-01,0.491,1.174
1,1,2025-01-01,0.503,0.648
1,2,2025-01-01,0.501,0.907
1,3,2025-01-01,0.521,0.853
1,4,2025-01-01,0.520,0.759
1,5,2025-01-01,0.522,1.143
1,6,2025-01-01,0.527,1.174
1,7,2025-01-01,0.511,0.579
2,1,2025-01-01,0.519,0.907
2,2,2025-01-01,0.518,0.853
2,3,2025-01-01,0.539,0.759
2,4,2025-01-01,0.574,1.143
2,5,2025-01-01,0.544,1.174
2,6,2025-01-01,0.581,0.579
2,7,2025-01-01,0.544,1.240
3,1,2025-01-01,0.550,0.853
3,2,2025-01-01,0.557,0.759
3,3,2025-01-01,0.591,1.143
3,4,2025-01-01,0.583,1.174
3,5,2025-01-01,0.629,0.579
3,6,2025-01-01,0.630,1.240
3,7,2025-01-01,0.620,0.838
4,1,2025-01-01,0.593,0.759
4,2,2025-01-01,0.617,1.143
4,3,2025-01-01,0.655,1.174
4,4,2025-01-01,0.692,0.579
4,5,2025-01-01,0.697,1.240
4,6,2025-01-01,0.719,0.838
4,7,2025-01-01,0.722,1.066
5,1,2025-01-01,0.700,1.143
5,2,2025-01-01,0.641,1.174
5,3,2025-01-01,0.723,0.579
5,4,2025-01-01,0.851,1.240
5,5,2025-01-01,0.868,0.838
5,6,2025-01-01,0.884,1.066
5,7,2025-01-01,0.898,1.179
6,1,2025-01-01,0.692,1.174
6,2,2025-01-01,0.675,0.579
6,3,2025-01-01,0.710,1.240
6,4,2025-01-01,0.698,0.838
6,5,2025-01-01,0.744,1.066
6,6,2025-01-01,0.764,1.179
6,7,2025-01-01,0.785,1.303
7,1,2025-01-01,0.766,0.579
7,2,2025-01-01,0.820,1.240
7,3,2025-01-01,0.793,0.838
7,4,2025-01-01,0.890,1.066
7,5,2025-01-01,0.931,1.179
7,6,2025-01-01,0.980,1.303
7,7,2025-01-01,0.950,1.296
8,1,2025-01-01,0.714,1.240
8,2,2025-01-01,0.825,0.838
8,3,2025-01-01,0.862,1.066
8,4,2025-01-01,0.813,1.179
8,5,2025-01-01,0.872,1.303
8,6,2025-01-01,0.891,1.296
8,7,2025-01-01,0.903,1.108
9,1,2025-01-01,0.764,0.838
9,2,2025-01-01,0.827,1.066
