Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.543,0.861
0,2,2025-01-01,0.554,0.809
0,3,2025-01-01,0.589,0.450
0,4,2025-01-01,0.624,1.133
0,5,2025-01-01,0.638,0.416
0,6,2025-01-01,0.637,1.423
0,7,2025-01-01,0.640,0.688
1,1,2025-01-01,0.544,0.809
1,2,2025-01-01,0.543,0.450
1,3,2025-01-01,0.557,1.133
1,4,2025-01-01,0.580,0.416
1,5,2025-01-01,0.613,1.423
1,6,2025-01-01,0.611,0.688
1,7,2025-01-01,0.608,0.572
2,1,2025-01-01,0.570,0.450
2,2,2025-01-01,0.588,1.133
2,3,2025-01-01,0.624,0.416
2,4,2025-01-01,0.688,1.423
2,5,2025-01-01,0.694,0.688
2,6,2025-01-01,0.728,0.572
2,7,2025-01-01,0.728,1.283
3,1,2025-01-01,0.506,1.133
3,2,2025-01-01,0.515,0.416
3,3,2025-01-01,0.540,1.423
3,4,2025-01-01,0.610,0.688
3,5,2025-01-01,0.646,0.572
3,6,2025-01-01,0.685,1.283
3,7,2025-01-01,0.667,1.421
4,1,2025-01-01,0.654,0.416
4,2,2025-01-01,0.671,1.423
4,3,2025-01-01,0.720,0.688
4,4,2025-01-01,0.757,0.572
4,5,2025-01-01,0.763,1.283
4,6,2025-01-01,0.794,1.421
4,7,2025-01-01,0.802,1.389
5,1,2025-01-01,0.668,1.423
5,2,2025-01-01,0.675,0.688
5,3,2025-01-01,0.812,0.572
5,4,2025-01-01,0.923,1.283
5,5,2025-01-01,0.977,1.421
5,6,2025-01-01,1.036,1.389
5,7,2025-01-01,1.088,1.192
6,1,2025-01-01,0.687,0.688
6,2,2025-01-01,0.615,0.572
6,3,2025-01-01,0.644,1.283
6,4,2025-01-01,0.758,1.421
6,5,2025-01-01,0.809,1.389
6,6,2025-01-01,0.841,1.192
6,7,2025-01-01,0.842,1.187
7,1,2025-01-01,0.706,0.572
7,2,2025-01-01,0.731,1.283
7,3,2025-01-01,0.779,1.421
7,4,2025-01-01,0.872,1.389
7,5,2025-01-01,0.937,1.192
7,6,2025-01-01,0.988,1.187
7,7,2025-01-01,0.980,1.214
8,1,2025-01-01,0.635,1.283
8,2,2025-01-01,0.725,1.421
8,3,2025-01-01,0.797,1.389
8,4,2025-01-01,0.761,1.192
8,5,2025-01-01,0.810,1.187
8,6,2025-01-01,0.841,1.214
8,7,2025-01-01,0.823,1.287
9,1,2025-01-01,0.752,1.421
9,2,2025-01-01,0.826,1.389
9,3,2025-01-01,0.850,1.192
9,4,2025-01-01,0.928,1.187
9,5,2025-01-01,0.948,1.214
9,6,2025-01-01,0.921,1.287
9,7,2025-01-01,0.909,0.819
10,1,2025-01-01,0.867,1.389
10,2,2025-01-01,0.872,1.192
10,3,2025-01-01,0.916,1.187
10,4,2025-01-01,0.939,1.214
10,5,2025-01-01,0.950,1.287
10,6,2025-01-01,0.959,0.819
10,7,2025-01-01,0.974,0.602
11,1,2025-01-01,0.787,1.192
11,2,2025-01-01,0.819,1.187
11,3,2025-01-01,0.813,1.214
11,4,2025-01-01,0.810,1.287
11,5,2025-01-01,0.901,0.819
11,6,2025-01-01,0.855,0.602
11,7,2025-01-01,0.873,1.107
12,1,2025-01-01,0.794,1.187
12,2,2025-01-01,0.815,1.214
12,3,2025-01-01,0.832,1.287
12,4,2025-01-01,0.856,0.819
12,5,2025-01-01,0.832,0.602
12,6,2025-01-01,0.827,1.107
12,7,2025-01-01,0.786,1.520
13,1,2025-01-01,0.765,1.214
13,2,2025-01-01,0.765,1.287
13,3,2025-01-01,0.808,0.819
13,4,2025-01-01,0.799,0.602
13,5,2025-01-01,0.848,1.107
13,6,2025-01-01,0.818,1.520
13,7,2025-01-01,0.781,1.662
14,1,2025-01-01,0.799,1.287
14,2,2025-01-01,0.800,0.819
14,3,2025-01-01,0.830,0.602
14,4,2025-01-01,0.876,1.107
14,5,2025-01-01,0.880,1.520
14,6,2025-01-01,0.875,1.662
14,7,2025-01-01,0.911,1.608
15,1,2025-01-01,0.810,0.819
15,2,2025-01-01,0.856,0.602
15,3,2025-01-01,0.892,1.107
15,4,2025-01-01,0.954,1.520
15,5,2025-01-01,1.016,1.662
15,6,2025-01-01,1.069,1.608
15,7,2025-01-01,1.152,0.873
16,1,2025-01-01,0.768,0.602
16,2,2025-01-01,0.802,1.107
16,3,2025-01-01,0.874,1.520
16,4,2025-01-01,0.946,1.662
16,5,2025-01-01,1.028,1.608
16,6,2025-01-01,1.060,0.873
16,7,2025-01-01,1.112,0.848
17,1,2025-01-01,0.670,1.107
17,2,2025-01-01,0.666,1.520
17,3,2025-01-01,0.713,1.662
17,4,2025-01-01,0.765,1.608
17,5,2025-01-01,0.767,0.873
17,6,2025-01-01,0.782,0.848
17,7,2025-01-01,0.851,0.931
18,1,2025-01-01,0.757,1.520
18,2,2025-01-01,0.792,1.662
18,3,2025-01-01,0.813,1.608
18,4,2025-01-01,0.853,0.873
18,5,2025-01-01,0.875,0.848
18,6,2025-01-01,0.877,0.931
18,7,2025-01-01,0.899,0.947
19,1,2025-01-01,0.862,1.662
19,2,2025-01-01,0.902,1.608
19,3,2025-01-01,0.943,0.873
19,4,2025-01-01,0.979,0.848
19,5,2025-01-01,1.032,0.931
19,6,2025-01-01,1.049,0.947
19,7,2025-01-01,1.101,1.057
20,1,2025-01-01,0.897,1.608
20,2,2025-01-01,0.935,0.873
20,3,2025-01-01,0.990,0.848
20,4,2025-01-01,1.045,0.931
20,5,2025-01-01,1.061,0.947
20,6,2025-01-01,1.105,1.057
20,7,2025-01-01,1.164,1.389
21,1,2025-01-01,0.893,0.873
21,2,2025-01-01,0.988,0.848
21,3,2025-01-01,1.051,0.931
21,4,2025-01-01,0.987,0.947
21,5,2025-01-01,1.100,1.057
21,6,2025-01-01,1.146,1.389
21,7,2025-01-01,1.266,1.394
22,1,2025-01-01,0.931,0.848
22,2,2025-01-01,0.959,0.931
22,3,2025-01-01,1.052,0.947
22,4,2025-01-01,1.189,1.057
22,5,2025-01-01,1.277,1.389
22,6,2025-01-01,1.344,1.394
22,7,2025-01-01,1.455,1.183
23,1,2025-01-01,0.825,0.931
23,2,2025-01-01,0.909,0.947
23,3,2025-01-01,0.909,1.057
23,4,2025-01-01,1.033,1.389
23,5,2025-01-01,1.141,1.394
23,6,2025-01-01,1.190,1.183
23,7,2025-01-01,1.255,1.241
24,1,2025-01-01,0.731,0.947
24,2,2025-01-01,0.767,1.057
24,3,2025-01-01,0.843,1.389
24,4,2025-01-01,0.922,1.394
24,5,2025-01-01,0.980,1.183
24,6,2025-01-01,1.039,1.241
24,7,2025-01-02,1.068,1.139
25,1,2025-01-01,0.732,1.057
25,2,2025-01-01,0.729,1.389
25,3,2025-01-01,0.820,1.394
25,4,2025-01-01,0.845,1.183
25,5,2025-01-01,0.927,1.241
25,6,2025-01-02,0.951,1.139
25,7,2025-01-02,1.080,1.679
26,1,2025-01-01,0.814,1.389
26,2,2025-01-01,0.840,1.394
26,3,2025-01-01,0.853,1.183
26,4,2025-01-01,0.933,1.241
26,5,2025-01-02,0.879,1.139
26,6,2025-01-02,0.969,1.679
26,7,2025-01-02,1.076,1.601
27,1,2025-01-01,0.783,1.394
27,2,2025-01-01,0.806,1.183
27,3,2025-01-01,0.854,1.241
27,4,2025-01-02,0.879,1.139
27,5,2025-01-02,0.968,1.679
27,6,2025-01-02,1.007,1.601
27,7,2025-01-02,1.125,1.689
28,1,2025-01-01,0.809,1.183
28,2,2025-01-01,0.843,1.241
28,3,2025-01-02,0.871,1.139
28,4,2025-01-02,0.916,1.679
28,5,2025-01-02,0.971,1.601
28,6,2025-01-02,1.030,1.689
28,7,2025-01-02,1.144,3.149
29,1,2025-01-01,0.814,1.241
29,2,2025-01-02,0.835,1.139
29,3,2025-01-02,0.875,1.679
29,4,2025-01-02,0.887,1.601
29,5,2025-01-02,1.012,1.689
29,6,2025-01-02,1.148,3.149
29,7,2025-01-02,1.329,1.984
30,1,2025-01-02,0.856,1.139
30,2,2025-01-02,0.881,1.679
30,3,2025-01-02,0.932,1.601
30,4,2025-01-02,1.036,1.689
30,5,2025-01-02,1.204,3.149
30,6,2025-01-02,1.386,1.984
30,7,2025-01-02,1.567,2.719
31,1,2025-01-02,0.913,1.679
31,2,2025-01-02,0.974,1.601
31,3,2025-01-02,1.057,1.689
31,4,2025-01-02,1.188,3.149
31,5,2025-01-02,1.393,1.984
31,6,2025-01-02,1.626,2.719
31,7,2025-01-02,1.949,2.215
32,1,2025-01-02,0.961,1.601
32,2,2025-01-02,0.948,1.689
32,3,2025-01-02,1.169,3.149
32,4,2025-01-02,1.434,1.984
32,5,2025-01-02,1.617,2.719
32,6,2025-01-02,1.753,2.215
32,7,2025-01-02,1.896,2.403
33,1,2025-01-02,1.140,1.689
33,2,2025-01-02,1.256,3.149
33,3,2025-01-02,1.455,1.984
33,4,2025-01-02,1.659,2.719
33,5,2025-01-02,1.872,2.215
33,6,2025-01-02,2.044,2.403
33,7,2025-01-02,2.156,1.485
34,1,2025-01-02,1.012,3.149
34,2,2025-01-02,1.129,1.984
34,3,2025-01-02,1.326,2.719
34,4,2025-01-02,1.621,2.215
34,5,2025-01-02,1.843,2.403
34,6,2025-01-02,2.031,1.485
34,7,2025-01-02,2.178,2.454
35,1,2025-01-02,1.466,1.984
35,2,2025-01-02,1.596,2.719
35,3,2025-01-02,1.720,2.215
35,4,2025-01-02,1.862,2.403
35,5,2025-01-02,1.982,1.485
35,6,2025-01-02,2.349,2.454
35,7,2025-01-02,2.528,2.137
36,1,2025-01-02,1.336,2.719
36,2,2025-01-02,1.567,2.215
36,3,2025-01-02,1.787,2.403
36,4,2025-01-02,2.002,1.485
36,5,2025-01-02,2.211,2.454
36,6,2025-01-02,2.401,2.137
36,7,2025-01-02,2.586,1.326
37,1,2025-01-02,1.469,2.215
37,2,2025-01-02,1.571,2.403
37,3,2025-01-02,1.729,1.485
37,4,2025-01-02,1.988,2.454
37,5,2025-01-02,2.279,2.137
37,6,2025-01-02,2.472,1.326
37,7,2025-01-02,2.686,1.366
38,1,2025-01-02,1.548,2.403
38,2,2025-01-02,1.743,1.485
38,3,2025-01-02,1.880,2.454
38,4,2025-01-02,2.011,2.137
38,5,2025-01-02,2.272,1.326
38,6,2025-01-02,2.410,1.366
38,7,2025-01-02,2.648,2.423
39,1,2025-01-02,1.411,1.485
39,2,2025-01-02,1.523,2.454
39,3,2025-01-02,1.681,2.137
39,4,2025-01-02,1.931,1.326
39,5,2025-01-02,2.134,1.366
39,6,2025-01-02,2.471,2.423
39,7,2025-01-02,2.731,3.110
40,1,2025-01-02,1.314,2.454
40,2,2025-01-02,1.314,2.137
40,3,2025-01-02,1.461,1.326
40,4,2025-01-02,1.820,1.366
40,5,2025-01-02,2.003,2.423
40,6,2025-01-02,2.214,3.110
40,7,2025-01-02,2.521,2.856
41,1,2025-01-02,1.565,2.137
41,2,2025-01-02,1.598,1.326
41,3,2025-01-02,1.588,1.366
41,4,2025-01-02,1.769,2.423
41,5,2025-01-02,2.180,3.110
41,6,2025-01-02,2.390,2.856
41,7,2025-01-02,2.679,2.958
42,1,2025-01-02,1.690,1.326
42,2,2025-01-02,1.794,1.366
42,3,2025-01-02,1.797,2.423
42,4,2025-01-02,2.025,3.110
42,5,2025-01-02,2.324,2.856
42,6,2025-01-02,2.569,2.958
42,7,2025-01-02,2.773,3.363
43,1,2025-01-02,1.677,1.366
43,2,2025-01-02,1.838,2.423
43,3,2025-01-02,2.043,3.110
43,4,2025-01-02,2.251,2.856
43,5,2025-01-02,2.412,2.958
43,6,2025-01-02,2.568,3.363
43,7,2025-01-02,2.756,3.019
44,1,2025-01-02,1.740,2.423
44,2,2025-01-02,1.960,3.110
44,3,2025-01-02,2.184,2.856
44,4,2025-01-02,2.330,2.958
44,5,2025-01-02,2.474,3.363
44,6,2025-01-02,2.614,3.019
44,7,2025-01-02,2.754,2.925
45,1,2025-01-02,1.885,3.110
45,2,2025-01-02,2.138,2.856
45,3,2025-01-02,2.357,2.958
45,4,2025-01-02,2.519,3.363
45,5,2025-01-02,2.604,3.019
45,6,2025-01-02,2.700,2.925
45,7,2025-01-02,2.786,1.403
46,1,2025-01-02,1.958,2.856
46,2,2025-01-02,2.150,2.958
46,3,2025-01-02,2.327,3.363
46,4,2025-01-02,2.487,3.019
46,5,2025-01-02,2.601,2.925
46,6,2025-01-02,2.701,1.403
46,7,2025-01-02,2.777,1.560
47,1,2025-01-02,1.996,2.958
47,2,2025-01-02,2.169,3.363
47,3,2025-01-02,2.345,3.019
47,4,2025-01-02,2.493,2.925
47,5,2025-01-02,2.603,1.403
47,6,2025-01-02,2.656,1.560
47,7,2025-01-02,2.748,3.006
48,1,2025-01-02,2.033,3.363
48,2,2025-01-02,2.196,3.019
48,3,2025-01-02,2.398,2.925
48,4,2025-01-02,2.548,1.403
48,5,2025-01-02,2.643,1.560
48,6,2025-01-02,2.720,3.006
48,7,2025-01-02,2.773,2.816
49,1,2025-01-02,2.033,3.019
49,2,2025-01-02,2.249,2.925
49,3,2025-01-02,2.457,1.403
49,4,2025-01-02,2.616,1.560
49,5,2025-01-02,2.697,3.006
49,6,2025-01-02,2.803,2.816
49,7,2025-01-02,2.861,1.887
50,1,2025-01-02,1.949,2.925
50,2,2025-01-02,2.110,1.403
50,3,2025-01-02,2.400,1.560
50,4,2025-01-02,2.578,3.006
50,5,2025-01-02,2.754,2.816
50,6,2025-01-02,2.770,1.887
50,7,2025-01-02,2.844,1.241
51,1,2025-01-02,1.627,1.403
51,2,2025-01-02,2.005,1.560
51,3,2025-01-02,2.312,3.006
51,4,2025-01-02,2.641,2.816
51,5,2025-01-02,2.867,1.887
51,6,2025-01-02,3.063,1.241
51,7,2025-01-02,3.232,1.788
52,1,2025-01-02,1.469,1.560
52,2,2025-01-02,1.563,3.006
52,3,2025-01-02,1.836,2.816
52,4,2025-01-02,2.447,1.887
52,5,2025-01-02,2.926,1.241
52,6,2025-01-02,3.273,1.788
52,7,2025-01-02,3.444,2.906
53,1,2025-01-02,1.449,3.006
53,2,2025-01-02,1.718,2.816
