Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.644,1.355
0,2,2025-01-01,0.989,0.492
0,3,2025-01-01,0.646,1.233
0,4,2025-01-01,1.050,0.312
0,5,2025-01-01,0.711,0.926
0,6,2025-01-01,1.092,0.798
0,7,2025-01-01,0.749,1.409
1,1,2025-01-01,0.726,0.492
1,2,2025-01-01,1.161,1.233
1,3,2025-01-01,0.780,0.312
1,4,2025-01-01,1.274,0.926
1,5,2025-01-01,0.862,0.798
1,6,2025-01-01,1.308,1.409
1,7,2025-01-01,0.925,0.954
2,1,2025-01-01,0.665,1.233
2,2,2025-01-01,1.060,0.312
2,3,2025-01-01,0.695,0.926
2,4,2025-01-01,1.094,0.798
2,5,2025-01-01,0.853,1.409
2,6,2025-01-01,1.192,0.954
2,7,2025-01-01,0.848,1.129
3,1,2025-01-01,0.806,0.312
3,2,2025-01-01,1.246,0.926
3,3,2025-01-01,0.863,0.798
3,4,2025-01-01,1.284,1.409
3,5,2025-01-01,0.891,0.954
3,6,2025-01-01,1.264,1.129
3,7,2025-01-01,0.935,0.444
4,1,2025-01-01,0.758,0.926
4,2,2025-01-01,1.203,0.798
4,3,2025-01-01,0.812,1.409
4,4,2025-01-01,1.244,0.954
4,5,2025-01-01,0.848,1.129
4,6,2025-01-01,1.251,0.444
4,7,2025-01-01,0.853,0.754
5,1,2025-01-01,0.845,0.798
5,2,2025-01-01,1.292,1.409
5,3,2025-01-01,0.875,0.954
5,4,2025-01-01,1.267,1.129
5,5,2025-01-01,0.861,0.444
5,6,2025-01-01,1.303,0.754
5,7,2025-01-01,0.992,1.731
6,1,2025-01-01,0.832,1.409
6,2,2025-01-01,1.311,0.954
6,3,2025-01-01,0.912,1.129
6,4,2025-01-01,1.377,0.444
6,5,2025-01-01,0.978,0.754
6,6,2025-01-01,1.409,1.731
6,7,2025-01-01,0.991,1.705
7,1,2025-01-01,1.025,0.954
7,2,2025-01-01,1.540,1.129
7,3,2025-01-01,1.118,0.444
7,4,2025-01-01,1.617,0.754
7,5,2025-01-01,1.180,1.731
7,6,2025-01-01,1.672,1.705
7,7,2025-01-01,1.225,0.985
8,1,2025-01-01,0.944,1.129
8,2,2025-01-01,1.494,0.444
8,3,2025-01-01,1.066,0.754
8,4,2025-01-01,1.572,1.731
8,5,2025-01-01,1.158,1.705
8,6,2025-01-01,1.658,0.985
8,7,2025-01-01,1.220,1.546
9,1,2025-01-01,0.968,0.444
9,2,2025-01-01,1.504,0.754
9,3,2025-01-01,1.054,1.731
9,4,2025-01-01,1.487,1.705
9,5,2025-01-01,1.677,0.985
9,6,2025-01-01,1.726,1.546
9,7,2025-01-01,1.311,1.956
10,1,2025-01-01,0.860,0.754
10,2,2025-01-01,1.348,1.731
10,3,2025-01-01,0.880,1.705
10,4,2025-01-01,1.423,0.985
10,5,2025-01-01,0.966,1.546
10,6,2025-01-01,1.523,1.956
10,7,2025-01-01,1.005,1.022
11,1,2025-01-01,0.795,1.731
11,2,2025-01-01,1.243,1.705
11,3,2025-01-01,0.858,0.985
11,4,2025-01-01,1.348,1.546
11,5,2025-01-01,0.935,1.956
11,6,2025-01-01,1.404,1.022
11,7,2025-01-01,0.965,0.771
12,1,2025-01-01,0.943,1.705
12,2,2025-01-01,1.366,0.985
12,3,2025-01-01,0.993,1.546
12,4,2025-01-01,1.457,1.956
12,5,2025-01-01,1.069,1.022
12,6,2025-01-01,1.575,0.771
12,7,2025-01-01,1.114,1.435
13,1,2025-01-01,1.022,0.985
13,2,2025-01-01,1.459,1.546
13,3,2025-01-01,1.071,1.956
13,4,2025-01-01,1.569,1.022
13,5,2025-01-01,1.166,0.771
13,6,2025-01-01,1.681,1.435
13,7,2025-01-01,1.243,1.575
14,1,2025-01-01,0.907,1.546
14,2,2025-01-01,1.445,1.956
14,3,2025-01-01,1.040,1.022
14,4,2025-01-01,1.552,0.771
14,5,2025-01-01,1.130,1.435
14,6,2025-01-01,1.623,1.575
14,7,2025-01-01,1.171,0.820
15,1,2025-01-01,0.952,1.956
15,2,2025-01-01,1.513,1.022
15,3,2025-01-01,1.089,0.771
15,4,2025-01-01,1.607,1.435
15,5,2025-01-01,1.166,1.575
15,6,2025-01-01,1.659,0.820
15,7,2025-01-01,1.199,1.073
16,1,2025-01-01,1.092,1.022
16,2,2025-01-01,1.700,0.771
16,3,2025-01-01,1.238,1.435
16,4,2025-01-01,1.787,1.575
16,5,2025-01-01,1.233,0.820
16,6,2025-01-01,1.678,1.073
16,7,2025-01-01,2.028,1.825
17,1,2025-01-01,1.129,0.771
17,2,2025-01-01,1.577,1.435
17,3,2025-01-01,1.137,1.575
17,4,2025-01-01,1.661,0.820
17,5,2025-01-01,1.170,1.073
17,6,2025-01-01,1.718,1.825
17,7,2025-01-01,1.221,1.500
18,1,2025-01-01,1.093,1.435
18,2,2025-01-01,1.663,1.575
18,3,2025-01-01,1.059,0.820
18,4,2025-01-01,1.573,1.073
18,5,2025-01-01,1.148,1.825
18,6,2025-01-01,1.679,1.500
18,7,2025-01-01,1.259,1.847
19,1,2025-01-01,1.170,1.575
19,2,2025-01-01,1.779,0.820
19,3,2025-01-01,1.171,1.073
19,4,2025-01-01,1.604,1.825
19,5,2025-01-01,1.308,1.500
19,6,2025-01-01,1.801,1.847
19,7,2025-01-01,1.392,1.625
20,1,2025-01-01,1.153,0.820
20,2,2025-01-01,1.718,1.073
20,3,2025-01-01,1.271,1.825
20,4,2025-01-01,1.766,1.500
20,5,2025-01-01,1.305,1.847
20,6,2025-01-01,1.901,1.625
20,7,2025-01-01,1.395,2.379
21,1,2025-01-01,1.050,1.073
21,2,2025-01-01,1.515,1.825
21,3,2025-01-01,1.016,1.500
21,4,2025-01-01,1.776,1.847
21,5,2025-01-01,1.231,1.625
21,6,2025-01-01,1.678,2.379
21,7,2025-01-01,1.590,2.125
22,1,2025-01-01,1.067,1.825
22,2,2025-01-01,1.647,1.500
22,3,2025-01-01,1.034,1.847
22,4,2025-01-01,1.661,1.625
22,5,2025-01-01,1.607,2.379
22,6,2025-01-01,2.006,2.125
22,7,2025-01-01,1.483,2.152
23,1,2025-01-01,1.307,1.500
23,2,2025-01-01,1.824,1.847
23,3,2025-01-01,1.371,1.625
23,4,2025-01-01,1.872,2.379
23,5,2025-01-01,1.735,2.125
23,6,2025-01-01,2.225,2.152
23,7,2025-01-01,1.734,2.287
24,1,2025-01-01,1.226,1.847
24,2,2025-01-01,1.833,1.625
24,3,2025-01-01,1.391,2.379
24,4,2025-01-01,2.002,2.125
24,5,2025-01-01,1.557,2.152
24,6,2025-01-01,2.117,2.287
24,7,2025-01-02,1.652,1.376
25,1,2025-01-01,1.485,1.625
25,2,2025-01-01,2.022,2.379
25,3,2025-01-01,1.603,2.125
25,4,2025-01-01,2.182,2.152
25,5,2025-01-01,1.767,2.287
25,6,2025-01-02,2.296,1.376
25,7,2025-01-02,1.842,3.431
26,1,2025-01-01,1.520,2.379
26,2,2025-01-01,2.043,2.125
26,3,2025-01-01,1.653,2.152
26,4,2025-01-01,2.277,2.287
26,5,2025-01-02,1.865,1.376
26,6,2025-01-02,2.423,3.431
26,7,2025-01-02,1.961,0.881
27,1,2025-01-01,1.758,2.125
27,2,2025-01-01,2.331,2.152
27,3,2025-01-01,1.881,2.287
27,4,2025-01-02,2.510,1.376
27,5,2025-01-02,2.070,3.431
27,6,2025-01-02,2.625,0.881
27,7,2025-01-02,2.125,3.760
28,1,2025-01-01,1.863,2.152
28,2,2025-01-01,2.401,2.287
28,3,2025-01-02,1.953,1.376
28,4,2025-01-02,2.558,3.431
28,5,2025-01-02,2.133,0.881
28,6,2025-01-02,2.710,3.760
