Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.329,0.881
0,2,2025-01-01,0.562,0.621
0,3,2025-01-01,0.335,0.851
0,4,2025-01-01,0.604,0.215
0,5,2025-01-01,0.365,0.417
0,6,2025-01-01,0.639,0.983
0,7,2025-01-01,0.400,0.787
1,1,2025-01-01,0.381,0.621
1,2,2025-01-01,0.651,0.851
1,3,2025-01-01,0.402,0.215
1,4,2025-01-01,0.698,0.417
1,5,2025-01-01,0.450,0.983
1,6,2025-01-01,0.743,0.787
1,7,2025-01-01,0.486,1.049
2,1,2025-01-01,0.423,0.851
2,2,2025-01-01,0.700,0.215
2,3,2025-01-01,0.440,0.417
2,4,2025-01-01,0.748,0.983
2,5,2025-01-01,0.460,0.787
2,6,2025-01-01,0.760,1.049
2,7,2025-01-01,0.512,1.235
3,1,2025-01-01,0.461,0.215
3,2,2025-01-01,0.748,0.417
3,3,2025-01-01,0.479,0.983
3,4,2025-01-01,0.789,0.787
3,5,2025-01-01,0.496,1.049
3,6,2025-01-01,0.817,1.235
3,7,2025-01-01,0.477,0.365
4,1,2025-01-01,0.465,0.417
4,2,2025-01-01,0.775,0.983
4,3,2025-01-01,0.488,0.787
4,4,2025-01-01,0.815,1.049
4,5,2025-01-01,0.534,1.235
4,6,2025-01-01,0.844,0.365
4,7,2025-01-01,0.520,1.261
5,1,2025-01-01,0.473,0.983
5,2,2025-01-01,0.769,0.787
5,3,2025-01-01,0.489,1.049
5,4,2025-01-01,0.824,1.235
5,5,2025-01-01,0.513,0.365
5,6,2025-01-01,0.859,1.261
5,7,2025-01-01,0.509,1.204
6,1,2025-01-01,0.556,0.787
6,2,2025-01-01,0.897,1.049
6,3,2025-01-01,0.613,1.235
6,4,2025-01-01,0.969,0.365
6,5,2025-01-01,0.637,1.261
6,6,2025-01-01,0.997,1.204
6,7,2025-01-01,0.642,1.194
7,1,2025-01-01,0.650,1.049
7,2,2025-01-01,0.995,1.235
7,3,2025-01-01,0.683,0.365
7,4,2025-01-01,1.046,1.261
7,5,2025-01-01,0.730,1.204
7,6,2025-01-01,1.092,1.194
7,7,2025-01-01,0.713,1.349
8,1,2025-01-01,0.697,1.235
8,2,2025-01-01,1.050,0.365
8,3,2025-01-01,0.737,1.261
8,4,2025-01-01,1.108,1.204
8,5,2025-01-01,0.769,1.194
8,6,2025-01-01,1.158,1.349
8,7,2025-01-01,0.802,1.297
9,1,2025-01-01,0.734,0.365
9,2,2025-01-01,1.128,1.261
9,3,2025-01-01,0.799,1.204
9,4,2025-01-01,1.220,1.194
9,5,2025-01-01,0.854,1.349
9,6,2025-01-01,1.251,1.297
9,7,2025-01-01,0.887,1.120
10,1,2025-01-01,0.646,1.261
10,2,2025-01-01,0.978,1.204
10,3,2025-01-01,0.665,1.194
10,4,2025-01-01,1.036,1.349
10,5,2025-01-01,0.879,1.297
10,6,2025-01-01,1.214,1.120
10,7,2025-01-01,0.833,0.834
11,1,2025-01-01,0.720,1.204
11,2,2025-01-01,1.071,1.194
11,3,2025-01-01,0.773,1.349
11,4,2025-01-01,1.129,1.297
11,5,2025-01-01,0.803,1.120
11,6,2025-01-01,1.194,0.834
11,7,2025-01-01,0.824,0.850
12,1,2025-01-01,0.775,1.194
12,2,2025-01-01,1.107,1.349
12,3,2025-01-01,0.814,1.297
12,4,2025-01-01,1.192,1.120
12,5,2025-01-01,0.877,0.834
12,6,2025-01-01,1.275,0.850
12,7,2025-01-01,0.892,1.275
13,1,2025-01-01,0.766,1.349
13,2,2025-01-01,1.120,1.297
13,3,2025-01-01,0.820,1.120
13,4,2025-01-01,1.220,0.834
13,5,2025-01-01,0.898,0.850
13,6,2025-01-01,1.308,1.275
13,7,2025-01-01,0.950,1.253
